variable,outcome_vs_will,coef,rrr,p
const,would,-1.603,0.201,4.202825629069903e-08
const,could,-3.027,0.048,1.5377144877721312e-07
const,can,-3.584,0.028,4.359978756882086e-07
const,should,-3.981,0.019,1.4532602758612005e-05
const,may,-6.79,0.001,0.07162897122290551
period_late,would,-0.343,0.709,6.763467700798287e-11
period_late,could,-0.485,0.616,1.2888229015266628e-07
period_late,can,0.074,1.076,0.3025318535144992
period_late,should,-0.458,0.632,4.946888731648405e-06
period_late,may,-0.263,0.768,0.011951404017206957
subj_type_econ,would,0.247,1.28,0.4218010693550577
subj_type_econ,could,0.989,2.69,0.09470650276748878
subj_type_econ,can,1.674,5.332,0.019720401723619215
subj_type_econ,should,2.185,8.894,0.018235333609755305
subj_type_econ,may,4.775,118.483,0.20553418697533377
subj_type_fed,would,0.347,1.415,0.5742668216246605
subj_type_fed,could,0.572,1.773,0.61686862224772
subj_type_fed,can,3.538,34.41,6.4414666886285556e-06
subj_type_fed,should,2.767,15.903,0.009923706411395287
subj_type_fed,may,4.207,67.148,0.28080724322802897
subj_type_it_there_rel,would,1.411,4.102,1.955803164502757e-06
subj_type_it_there_rel,could,1.989,7.308,0.0006204332668995647
subj_type_it_there_rel,can,1.863,6.444,0.009038220054207098
subj_type_it_there_rel,should,2.192,8.949,0.017603176770033258
subj_type_it_there_rel,may,5.6,270.321,0.13747364283455968
subj_type_none,would,1.741,5.705,4.982188481432137e-06
subj_type_none,could,2.313,10.107,0.0004907250518821179
subj_type_none,can,4.972,144.294,1.3165063892062955e-11
subj_type_none,should,2.559,12.923,0.012141486016579325
subj_type_none,may,5.283,197.038,0.16395627311896366
subj_type_other,would,1.089,2.971,0.00031522868788882443
subj_type_other,could,1.739,5.694,0.0030358522687768965
subj_type_other,can,2.165,8.716,0.0024977022789138435
subj_type_other,should,2.606,13.544,0.00483525085678914
subj_type_other,may,5.3,200.408,0.15987414839321257
subj_type_person,would,1.31,3.705,1.8043871284122937e-05
subj_type_person,could,1.901,6.695,0.0012846992548906483
subj_type_person,can,3.69,40.031,2.298985243308356e-07
subj_type_person,should,2.676,14.524,0.00394729975992277
subj_type_person,may,5.047,155.483,0.18102892120771563
subj_type_risks,would,7.043,1144.908,0.36655459688444647
subj_type_risks,could,-0.624,0.536,0.9919299383630611
subj_type_risks,can,7.784,2402.325,0.32212831671619113
subj_type_risks,should,-0.549,0.578,0.995053390192907
subj_type_risks,may,-0.448,0.639,0.9989412907635042
subj_type_we_I,would,1.743,5.716,3.2076099713786916e-09
subj_type_we_I,could,0.412,1.51,0.48223387372565085
subj_type_we_I,can,2.491,12.074,0.0004560458490381872
subj_type_we_I,should,1.589,4.897,0.08521164973720977
subj_type_we_I,may,3.585,36.059,0.341842959942082
cond,would,0.53,1.699,4.442050964482522e-18
cond,could,0.647,1.91,7.0368692305592e-11
cond,can,0.201,1.222,0.011809784015690472
cond,should,0.064,1.066,0.6073644284575108
cond,may,0.028,1.029,0.8232632529450199
reported,would,-0.072,0.931,0.2560128472340465
reported,could,-0.524,0.592,1.983490111812541e-05
reported,can,-0.217,0.805,0.009165033037107475
reported,should,0.071,1.074,0.53457957696274
reported,may,-0.425,0.654,0.0013040699967001184
