layer,modal,n,neg,question,cond,reported,contracted,subj_we_I,subj_person,subj_committee_fed,subj_econ,passive,perfect
min_committee,could,83,0.0,0.0,0.614,0.277,0.0,0.0,0.0,0.036,0.12,0.06,0.0
min_committee,will,37,0.0,0.0,0.216,0.622,0.0,0.0,0.108,0.162,0.297,0.0,0.0
min_committee,would,719,0.0,0.0,0.164,0.786,0.0,0.0,0.243,0.103,0.275,0.017,0.001
statement,could,50,0.0,0.0,0.92,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0
statement,will,607,0.0,0.0,0.041,0.234,0.0,0.0,0.0,0.463,0.227,0.002,0.0
statement,would,49,0.0,0.0,0.939,0.041,0.0,0.0,0.0,0.939,0.0,0.0,0.0
