key,unit,period,macro,k,n,r,p_r,rho,p_rho
minutes,ALL,T2,vix,3,91,-0.0796,0.4533,-0.0376,0.7236
minutes,ALL,T2,vix,4,90,-0.0986,0.3552,-0.1114,0.2958
minutes,ALL,T2,vix,5,89,-0.245,0.0207,-0.1396,0.1918
minutes,ALL,T2,vix,6,89,-0.2148,0.0432,-0.102,0.3414
minutes,ALL,T2,vix,7,88,-0.1174,0.2761,-0.0423,0.6955
minutes,ALL,T2,vix,8,87,-0.1701,0.1152,-0.0685,0.5285
minutes,ALL,T2,vix,9,87,-0.1572,0.1458,-0.1017,0.3488
minutes,could,T1,cfnai,-9,99,-0.0006,0.9953,-0.1776,0.0786
minutes,could,T1,cfnai,-8,99,-0.0251,0.8054,-0.2076,0.0393
minutes,could,T1,cfnai,-7,99,-0.0616,0.5445,-0.2255,0.0249
minutes,could,T1,cfnai,-6,99,-0.0595,0.5587,-0.2409,0.0163
minutes,could,T1,cfnai,-5,99,-0.0153,0.8805,-0.2988,0.0027
minutes,could,T1,cfnai,-4,99,0.0284,0.7804,-0.2475,0.0135
minutes,could,T1,cfnai,-3,99,0.1031,0.3098,-0.2353,0.019
minutes,could,T1,cfnai,-2,99,0.1048,0.3018,-0.2509,0.0122
minutes,could,T1,cfnai,-1,99,0.076,0.4548,-0.2649,0.0081
minutes,could,T1,cfnai,0,99,0.0007,0.9943,-0.3113,0.0017
minutes,could,T1,cfnai,1,99,-0.0713,0.4828,-0.2564,0.0104
minutes,could,T1,cfnai,2,99,-0.0797,0.4328,-0.2515,0.012
minutes,could,T1,cfnai,3,99,-0.0763,0.4531,-0.283,0.0045
minutes,could,T1,cfnai,4,98,-0.1798,0.0764,-0.3247,0.0011
minutes,could,T1,cfnai,5,97,-0.2441,0.016,-0.306,0.0023
minutes,could,T1,cfnai,6,97,-0.2154,0.0341,-0.3011,0.0027
minutes,could,T1,cfnai,7,96,-0.0072,0.9442,-0.1986,0.0524
minutes,could,T1,cfnai,8,95,0.0126,0.9038,-0.1985,0.0538
minutes,could,T1,cfnai,9,95,0.0247,0.8124,-0.1538,0.1367
minutes,could,T1,vix,-9,99,0.3266,0.001,0.451,0.0
minutes,could,T1,vix,-8,99,0.2926,0.0033,0.355,0.0003
minutes,could,T1,vix,-7,99,0.3447,0.0005,0.3826,0.0001
minutes,could,T1,vix,-6,99,0.2097,0.0373,0.3259,0.001
minutes,could,T1,vix,-5,99,0.2942,0.0031,0.3813,0.0001
minutes,could,T1,vix,-4,99,0.2451,0.0145,0.4537,0.0
minutes,could,T1,vix,-3,99,0.142,0.1609,0.3713,0.0002
minutes,could,T1,vix,-2,99,0.235,0.0192,0.367,0.0002
minutes,could,T1,vix,-1,99,0.0765,0.4516,0.2262,0.0243
minutes,could,T1,vix,0,99,0.0867,0.3935,0.2154,0.0322
minutes,could,T1,vix,1,99,0.1212,0.2321,0.1921,0.0568
minutes,could,T1,vix,2,99,0.0057,0.9556,0.147,0.1464
minutes,could,T1,vix,3,99,0.1486,0.142,0.1095,0.2804
minutes,could,T1,vix,4,98,0.1718,0.0908,0.1825,0.072
minutes,could,T1,vix,5,97,0.1437,0.1602,0.1874,0.066
minutes,could,T1,vix,6,97,0.1237,0.2275,0.1467,0.1516
minutes,could,T1,vix,7,96,0.111,0.2816,0.105,0.3084
minutes,could,T1,vix,8,95,-0.0054,0.9583,0.0006,0.9954
minutes,could,T1,vix,9,95,-0.104,0.3158,-0.0732,0.4806
minutes,could,T2,cfnai,-9,91,-0.009,0.9323,-0.2678,0.0103
minutes,could,T2,cfnai,-8,91,-0.0205,0.8472,-0.2828,0.0066
minutes,could,T2,cfnai,-7,91,-0.0766,0.4705,-0.3129,0.0025
minutes,could,T2,cfnai,-6,91,-0.0843,0.427,-0.3248,0.0017
minutes,could,T2,cfnai,-5,91,-0.1586,0.1332,-0.382,0.0002
minutes,could,T2,cfnai,-4,91,-0.2246,0.0323,-0.3852,0.0002
minutes,could,T2,cfnai,-3,91,-0.2697,0.0097,-0.3789,0.0002
minutes,could,T2,cfnai,-2,91,-0.2739,0.0086,-0.3701,0.0003
minutes,could,T2,cfnai,-1,91,-0.3044,0.0034,-0.3991,0.0001
minutes,could,T2,cfnai,0,91,-0.3423,0.0009,-0.3846,0.0002
minutes,could,T2,cfnai,1,91,-0.2351,0.0249,-0.2786,0.0075
minutes,could,T2,cfnai,2,91,-0.2169,0.0389,-0.2832,0.0065
