layer,unit,n,share
min_committee,would+continue,109,0.1138
min_committee,would+take,86,0.0898
min_committee,would+be+appropriate,63,0.0658
min_committee,would+depend,51,0.0532
min_committee,would+assess,49,0.0511
min_committee,could+impede,46,0.048
min_committee,would+be+prepared,46,0.048
min_committee,would+expand,29,0.0303
min_committee,would+remain,27,0.0282
min_committee,would+warrant,21,0.0219
statement,will+continue,125,0.1623
statement,will+take,123,0.1597
statement,will+assess,72,0.0935
statement,could+impede,46,0.0597
statement,would+be+prepared,46,0.0597
statement,will+be+appropriate,43,0.0558
statement,will+expand,34,0.0442
statement,will+monitor,32,0.0416
statement,will+depend,28,0.0364
statement,should+help,21,0.0273
