variable,outcome_vs_will,coef,rrr,p
const,would,2.484,11.993,5.0594019123881256e-33
const,could,0.096,1.101,0.7096314730056102
const,can,-4.775,0.008,2.1932415516516827e-09
const,should,0.772,2.165,0.00212908558572501
const,may,-2.179,0.113,2.0824547821551667e-05
period_late,would,-0.264,0.768,6.17465500086858e-10
period_late,could,-0.19,0.827,0.0008306604672703297
period_late,can,0.056,1.057,0.34429307757178707
period_late,should,-0.51,0.6,2.189633204835006e-12
period_late,may,-0.311,0.733,9.89923036663242e-06
subj_type_econ,would,0.304,1.355,0.030125769289132937
subj_type_econ,could,0.886,2.425,7.206063163630905e-07
subj_type_econ,can,1.882,6.568,0.0001667496782770216
subj_type_econ,should,-0.028,0.973,0.8750343683212684
subj_type_econ,may,2.506,12.251,4.1991764236883756e-08
subj_type_fed,would,-0.055,0.947,0.8648431844419215
subj_type_fed,could,0.231,1.26,0.5723395646217369
subj_type_fed,can,3.255,25.932,2.45946788550341e-09
subj_type_fed,should,0.457,1.58,0.20065129074575005
subj_type_fed,may,0.706,2.026,0.4174054744245501
subj_type_it_there_rel,would,0.919,2.506,3.7880512176813237e-11
subj_type_it_there_rel,could,1.624,5.072,5.3356474027917205e-20
subj_type_it_there_rel,can,1.917,6.799,0.00012214871164312904
subj_type_it_there_rel,should,-0.193,0.825,0.2952179358045115
subj_type_it_there_rel,may,2.925,18.628,1.540236752790337e-10
subj_type_none,would,1.163,3.201,3.922761664357896e-06
subj_type_none,could,1.495,4.458,2.985770837209581e-06
subj_type_none,can,4.771,118.093,8.086369065999354e-20
subj_type_none,should,0.919,2.507,0.005910702588991679
subj_type_none,may,2.741,15.509,1.3717986680621546e-06
subj_type_other,would,0.579,1.785,3.215842708240354e-05
subj_type_other,could,1.23,3.42,3.7909869837895405e-12
subj_type_other,can,2.178,8.826,1.2400934832240072e-05
subj_type_other,should,0.249,1.283,0.1555002552251135
subj_type_other,may,2.794,16.349,9.097210320432399e-10
subj_type_person,would,0.929,2.531,9.41164281251354e-10
subj_type_person,could,1.201,3.323,1.7486807252653974e-09
subj_type_person,can,3.46,31.814,4.245823978136295e-12
subj_type_person,should,0.365,1.44,0.06810672102902866
subj_type_person,may,2.482,11.961,1.3369564421723096e-07
subj_type_risks,would,3.644,38.253,0.18663500997782756
subj_type_risks,could,4.701,110.077,0.08926038402544956
subj_type_risks,can,6.402,603.072,0.0231736781241285
subj_type_risks,should,4.519,91.761,0.10257009986528727
subj_type_risks,may,6.861,954.183,0.01419665220537515
subj_type_we_I,would,1.134,3.109,2.696882032080974e-16
subj_type_we_I,could,-0.081,0.922,0.6823768525846055
subj_type_we_I,can,2.299,9.964,3.6615237284550597e-06
subj_type_we_I,should,-0.584,0.557,0.0018750225568223797
subj_type_we_I,may,0.856,2.353,0.06856783516865315
layer_min_participants,would,1.007,2.737,6.169909032718072e-05
layer_min_participants,could,2.513,12.345,4.538560003398697e-20
layer_min_participants,can,1.455,4.284,0.051242103627045926
layer_min_participants,should,0.827,2.287,0.003421010822060714
layer_min_participants,may,1.704,5.498,7.125507582120225e-08
layer_min_special,would,-1.025,0.359,8.0360255533143e-06
layer_min_special,could,0.773,2.166,0.0024515461812983936
layer_min_special,can,1.863,6.444,0.006483959699539463
layer_min_special,should,-0.664,0.515,0.01732482744402475
layer_min_special,may,-0.564,0.569,0.09931915098478349
layer_min_staff,would,0.131,1.14,0.6726712737911936
layer_min_staff,could,1.063,2.896,0.001514916953122489
layer_min_staff,can,0.712,2.039,0.4674155655460004
layer_min_staff,should,-1.915,0.147,0.0005200007481337694
layer_min_staff,may,1.091,2.978,0.0038252825152169153
layer_min_staff_desk,would,-0.767,0.465,0.001976601082283127
layer_min_staff_desk,could,0.375,1.455,0.17805318103940249
layer_min_staff_desk,can,0.73,2.075,0.3569998652494042
layer_min_staff_desk,should,-1.013,0.363,0.0018596097887459016
layer_min_staff_desk,may,0.158,1.171,0.6412562450419114
layer_pc_chair,would,-3.66,0.026,5.687434142965388e-95
layer_pc_chair,could,-2.958,0.052,5.912359905069847e-45
layer_pc_chair,can,1.307,3.694,0.03925756178501496
layer_pc_chair,should,-2.505,0.082,4.071159975546384e-32
layer_pc_chair,may,-2.003,0.135,4.703178214623415e-15
layer_speech_chair,would,-3.982,0.019,8.77951204340132e-106
layer_speech_chair,could,-2.4,0.091,5.193666782476453e-29
layer_speech_chair,can,1.615,5.025,0.011094451344104972
layer_speech_chair,should,-2.411,0.09,5.817812601553712e-28
layer_speech_chair,may,-1.274,0.28,7.681034255948306e-07
layer_statement,would,-5.327,0.005,2.4079179750052495e-119
layer_statement,could,-3.436,0.032,2.6407915310609597e-41
layer_statement,can,-1.777,0.169,0.027687540451808112
layer_statement,should,-3.541,0.029,3.5650679507825456e-38
layer_statement,may,-2.849,0.058,4.627708808420438e-19
cond,would,0.575,1.776,1.1203975862617449e-29
cond,could,1.004,2.73,4.3354883122134836e-58
cond,can,0.314,1.37,3.5156056449225917e-06
cond,should,0.107,1.113,0.24546223945034673
cond,may,0.237,1.268,0.00492194023898124
reported,would,-0.016,0.984,0.7487177784817238
reported,could,-0.703,0.495,5.316671487386277e-25
reported,can,-0.305,0.737,3.7574901209864814e-05
reported,should,0.222,1.249,0.006508285418160544
reported,may,-0.55,0.577,1.8293786280879752e-10
