layer,will,would,could,can,should,may
min_committee,-14.02,17.81,-3.82,-9.55,5.28,-2.34
min_participants,-26.54,14.01,26.97,-16.23,0.85,1.87
min_special,-11.4,2.17,17.77,-6.55,2.94,-1.68
min_staff,-10.91,8.02,7.28,-7.12,-4.26,5.94
min_staff_desk,-9.55,6.18,7.67,-6.82,-0.17,2.66
pc_chair,25.39,-16.24,-20.75,16.02,-1.81,-1.73
