variable,outcome_vs_will,coef,rrr,p
const,would,-1.088,0.337,2.0633872872727215e-07
const,could,-2.732,0.065,3.496378326425413e-13
const,can,-3.386,0.034,1.0673231604420592e-10
const,should,-3.439,0.032,2.6365626638968074e-09
const,may,-4.131,0.016,1.2054304686874923e-08
period_late,would,-0.357,0.7,7.218340357991378e-14
period_late,could,-0.48,0.619,8.08528852690254e-10
period_late,can,-0.0,1.0,0.9935089567419156
period_late,should,-0.535,0.586,1.1693088213102668e-09
period_late,may,-0.404,0.667,1.1431489356039007e-06
subj_type_econ,would,0.139,1.15,0.5250193897979742
subj_type_econ,could,1.068,2.909,0.005151832515227631
subj_type_econ,can,1.812,6.125,0.0006168310740383228
subj_type_econ,should,1.853,6.378,0.001463432313656002
subj_type_econ,may,2.34,10.385,0.001311645382914377
subj_type_fed,would,0.433,1.543,0.2932667008411387
subj_type_fed,could,0.485,1.624,0.4959754467474986
subj_type_fed,can,3.503,33.223,1.7144538811213957e-09
subj_type_fed,should,2.351,10.493,0.0008254580094493434
subj_type_fed,may,1.348,3.85,0.1919181157213098
subj_type_it_there_rel,would,0.92,2.51,1.5889485690748094e-05
subj_type_it_there_rel,could,1.647,5.193,1.2993531560351e-05
subj_type_it_there_rel,can,1.851,6.364,0.0004554613831230697
subj_type_it_there_rel,should,1.631,5.107,0.005144583433359954
subj_type_it_there_rel,may,3.007,20.235,3.437262816680283e-05
subj_type_none,would,1.22,3.389,6.31293297702933e-05
subj_type_none,could,2.012,7.479,1.7403603870138504e-05
subj_type_none,can,4.762,116.938,5.9301934932299775e-18
subj_type_none,should,2.201,9.03,0.0013016271034762556
subj_type_none,may,2.742,15.522,0.0007334413810415901
subj_type_other,would,0.697,2.009,0.0012429921173983042
subj_type_other,could,1.422,4.144,0.00017736357761782964
subj_type_other,can,2.201,9.03,3.0303858573599038e-05
subj_type_other,should,1.933,6.913,0.0008952442686721828
subj_type_other,may,2.861,17.479,8.161643544588841e-05
subj_type_person,would,0.778,2.178,0.0004966564858997286
subj_type_person,could,1.622,5.062,2.9073010982937993e-05
subj_type_person,can,3.458,31.762,5.7201154683887844e-11
subj_type_person,should,2.188,8.915,0.00020102769535468518
subj_type_person,may,2.634,13.932,0.00033416211519159264
subj_type_risks,would,6.435,623.131,0.3055567906420902
subj_type_risks,could,-1.62,0.198,0.9749879086584577
subj_type_risks,can,8.021,3045.332,0.20334375811281158
subj_type_risks,should,7.171,1301.753,0.25998961731922055
subj_type_risks,may,7.487,1784.133,0.24076218154776152
subj_type_we_I,would,1.12,3.065,1.0559803576786439e-07
subj_type_we_I,could,0.063,1.065,0.8699481372618507
subj_type_we_I,can,2.273,9.704,1.5042965674861635e-05
subj_type_we_I,should,1.159,3.186,0.046338994892626946
subj_type_we_I,may,0.887,2.429,0.22600318006981424
layer_speech_chair,would,-0.382,0.682,8.124533584023791e-10
layer_speech_chair,could,0.426,1.531,7.108122272720033e-07
layer_speech_chair,can,0.279,1.322,7.166110032485848e-05
layer_speech_chair,should,0.103,1.108,0.3061511059366808
layer_speech_chair,may,0.722,2.059,3.96172621615197e-16
cond,would,0.568,1.765,1.8468692386263224e-25
cond,could,0.629,1.875,1.1153105841085276e-14
cond,can,0.242,1.274,0.0004221668436680768
cond,should,0.028,1.029,0.7915221317975525
cond,may,0.049,1.05,0.6122344553409276
reported,would,-0.056,0.945,0.33120822556265783
reported,could,-0.489,0.613,1.8870522657401228e-06
reported,can,-0.326,0.722,1.8243932356602755e-05
reported,should,0.161,1.175,0.10179262083741215
reported,may,-0.508,0.602,3.621579689454752e-06
