layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,4378,595939,14484.8,7346.4,207.19,0.0,0.98,97.2,+,0.0
statement,would,modal,49,41906,3846,595939,1169.3,6453.7,263.35,0.0,-2.45,-81.9,-,0.0
statement,could,modal,50,41906,709,595939,1193.1,1189.7,0.0,0.9843,0.017,0.3,+,0.9843
statement,can,modal,4,41906,1613,595939,95.5,2706.7,185.0,0.0,-4.656,-96.5,-,0.0
statement,should,modal,33,41906,582,595939,787.5,976.6,1.54,0.2141,-0.29,-19.4,-,0.242
statement,may,modal,27,41906,516,595939,644.3,865.9,2.45,0.1174,-0.401,-25.6,-,0.1387
statement,will/activity,unit,132,41906,856,595939,3149.9,1436.4,58.2,0.0,1.137,119.3,+,0.0
statement,will/aspectual,unit,126,41906,340,595939,3006.7,570.5,188.37,0.0,2.401,427.0,+,0.0
statement,will/mental,unit,105,41906,591,595939,2505.6,991.7,61.6,0.0,1.343,152.7,+,0.0
statement,will/policy_action,unit,57,41906,303,595939,1360.2,508.4,37.0,0.0,1.43,167.5,+,0.0
statement,will/copular_adj,unit,51,41906,408,595939,1217.0,684.6,12.94,0.0003,0.842,77.8,+,0.0006
statement,could/causative,unit,50,41906,143,595939,1193.1,240.0,70.88,0.0,2.323,397.2,+,0.0
statement,will/occurrence,unit,47,41906,277,595939,1121.6,464.8,25.28,0.0,1.283,141.3,+,0.0
statement,would/copular_adj,unit,46,41906,396,595939,1097.7,664.5,9.1,0.0026,0.738,65.2,+,0.0038
statement,will/causative,unit,38,41906,107,595939,906.8,179.5,54.65,0.0,2.349,405.0,+,0.0
statement,will/existence,unit,29,41906,430,595939,692.0,721.6,0.05,0.8266,-0.037,-4.1,-,0.8596
statement,should/activity,unit,21,41906,135,595939,501.1,226.5,9.44,0.0021,1.174,121.2,+,0.0035
statement,may/causative,unit,16,41906,40,595939,381.8,67.1,25.56,0.0,2.534,468.8,+,0.0
statement,will/communication,unit,12,41906,267,595939,286.4,448.0,2.65,0.1039,-0.59,-36.1,-,0.1286
statement,may/copular_adj,unit,10,41906,74,595939,238.6,124.2,3.19,0.0742,1.003,92.2,+,0.0965
statement,will/other,unit,10,41906,433,595939,238.6,726.6,17.71,0.0,-1.538,-67.2,-,0.0001
statement,should/causative,unit,6,41906,16,595939,143.2,26.8,9.06,0.0026,2.486,433.3,+,0.0038
statement,should/policy_action,unit,6,41906,33,595939,143.2,55.4,3.67,0.0554,1.464,158.6,+,0.0758
statement,can/copular_adj,unit,2,41906,53,595939,47.7,88.9,0.91,0.3399,-0.59,-46.3,-,0.3682
statement,can/other,unit,2,41906,351,595939,47.7,589.0,33.91,0.0,-3.306,-91.9,-,0.0
statement,would/aspectual,unit,2,41906,169,595939,47.7,283.6,12.09,0.0005,-2.253,-83.2,-,0.0009
min_committee,will,modal,37,62833,4948,575012,588.9,8605.0,761.2,0.0,-3.85,-93.2,-,0.0
min_committee,would,modal,719,62833,3176,575012,11443.0,5523.4,265.57,0.0,1.052,107.2,+,0.0
min_committee,could,modal,83,62833,676,575012,1321.0,1175.6,0.97,0.3236,0.176,12.4,+,0.3309
min_committee,can,modal,3,62833,1614,575012,47.7,2806.9,304.93,0.0,-5.656,-98.3,-,0.0
min_committee,should,modal,85,62833,530,575012,1352.8,921.7,9.83,0.0017,0.561,46.8,+,0.0024
min_committee,may,modal,31,62833,512,575012,493.4,890.4,12.18,0.0005,-0.83,-44.6,-,0.0007
min_committee,would/copular_adj,unit,126,62833,316,575012,2005.3,549.6,121.23,0.0,1.871,264.9,+,0.0
min_committee,would/aspectual,unit,116,62833,55,575012,1846.2,95.7,334.28,0.0,4.264,1830.1,+,0.0
min_committee,would/activity,unit,108,62833,344,575012,1718.8,598.2,74.89,0.0,1.527,187.3,+,0.0
min_committee,would/occurrence,unit,89,62833,50,575012,1416.5,87.0,241.3,0.0,4.02,1529.0,+,0.0
min_committee,would/mental,unit,71,62833,475,575012,1130.0,826.1,5.61,0.0179,0.461,36.8,+,0.0221
min_committee,would/policy_action,unit,56,62833,92,575012,891.3,160.0,82.33,0.0,2.483,457.0,+,0.0
min_committee,could/causative,unit,55,62833,138,575012,875.3,240.0,52.89,0.0,1.875,264.7,+,0.0
min_committee,would/existence,unit,52,62833,251,575012,827.6,436.5,15.28,0.0001,0.934,89.6,+,0.0002
min_committee,would/causative,unit,48,62833,89,575012,763.9,154.8,63.49,0.0,2.31,393.6,+,0.0
min_committee,should/communication,unit,38,62833,21,575012,604.8,36.5,103.67,0.0,4.035,1556.0,+,0.0
min_committee,would/other,unit,26,62833,388,575012,413.8,674.8,6.73,0.0095,-0.68,-38.7,-,0.0123
min_committee,would/communication,unit,24,62833,846,575012,382.0,1471.3,67.04,0.0,-1.917,-74.0,-,0.0
min_committee,should/activity,unit,21,62833,135,575012,334.2,234.8,2.08,0.1493,0.538,42.4,+,0.1618
min_committee,may/causative,unit,14,62833,42,575012,222.8,73.0,10.62,0.0011,1.643,205.0,+,0.0016
min_committee,may/copular_adj,unit,13,62833,71,575012,206.9,123.5,2.6,0.1071,0.789,67.6,+,0.1266
min_committee,should/other,unit,12,62833,68,575012,191.0,118.3,2.09,0.148,0.74,61.5,+,0.1618
min_committee,will/activity,unit,11,62833,977,575012,175.1,1699.1,132.8,0.0,-3.215,-89.7,-,0.0
min_committee,will/copular_adj,unit,8,62833,451,575012,127.3,784.3,49.97,0.0,-2.537,-83.8,-,0.0
min_committee,will/policy_action,unit,6,62833,354,575012,95.5,615.6,40.2,0.0,-2.575,-84.5,-,0.0
min_committee,could/other,unit,6,62833,81,575012,95.5,140.9,0.95,0.3309,-0.454,-32.2,-,0.3309
pc_chair,will,modal,4341,533106,644,104739,8142.8,6148.6,47.42,0.0,0.404,32.4,+,0.0
pc_chair,would,modal,3127,533106,768,104739,5865.6,7332.5,29.34,0.0,-0.323,-20.0,-,0.0
pc_chair,could,modal,626,533106,133,104739,1174.3,1269.8,0.66,0.4165,-0.117,-7.5,-,0.4922
pc_chair,can,modal,1610,533106,7,104739,3020.0,66.8,512.72,0.0,5.399,4418.8,+,0.0
pc_chair,should,modal,497,533106,118,104739,932.3,1126.6,3.29,0.0698,-0.278,-17.2,-,0.0908
pc_chair,may,modal,485,533106,58,104739,909.8,553.8,14.54,0.0001,0.705,64.3,+,0.0002
pc_chair,would/communication,unit,846,533106,24,104739,1586.9,229.1,170.55,0.0,2.763,592.6,+,0.0
pc_chair,will/activity,unit,845,533106,143,104739,1585.1,1365.3,2.82,0.093,0.211,16.1,+,0.1151
pc_chair,will/mental,unit,589,533106,107,104739,1104.8,1021.6,0.57,0.4519,0.108,8.1,+,0.5108
pc_chair,would/mental,unit,475,533106,71,104739,891.0,677.9,4.94,0.0263,0.386,31.4,+,0.038
pc_chair,will/other,unit,431,533106,12,104739,808.5,114.6,87.7,0.0,2.762,605.7,+,0.0
pc_chair,will/existence,unit,430,533106,29,104739,806.6,276.9,42.74,0.0,1.52,191.3,+,0.0
pc_chair,can/activity,unit,428,533106,0,104739,802.8,0.0,153.55,0.0,7.396,inf,+,0.0
pc_chair,will/copular_adj,unit,400,533106,59,104739,750.3,563.3,4.53,0.0332,0.403,33.2,+,0.0455
pc_chair,would/other,unit,388,533106,26,104739,727.8,248.2,38.88,0.0,1.526,193.2,+,0.0
pc_chair,can/other,unit,351,533106,2,104739,658.4,19.1,108.47,0.0,4.788,3348.0,+,0.0
pc_chair,would/activity,unit,344,533106,108,104739,645.3,1031.1,16.57,0.0,-0.681,-37.4,-,0.0001
pc_chair,will/aspectual,unit,336,533106,130,104739,630.3,1241.2,38.54,0.0,-0.981,-49.2,-,0.0
pc_chair,will/policy_action,unit,297,533106,63,104739,557.1,601.5,0.3,0.5837,-0.12,-7.4,-,0.607
pc_chair,will/copular_nom,unit,287,533106,0,104739,538.4,0.0,102.96,0.0,6.82,inf,+,0.0
pc_chair,will/occurrence,unit,275,533106,49,104739,515.8,467.8,0.41,0.524,0.129,10.3,+,0.5676
pc_chair,would/copular_adj,unit,270,533106,172,104739,506.5,1642.2,127.51,0.0,-1.699,-69.2,-,0.0
pc_chair,will/communication,unit,267,533106,12,104739,500.8,114.6,40.16,0.0,2.072,337.1,+,0.0
pc_chair,would/existence,unit,251,533106,52,104739,470.8,496.5,0.12,0.7293,-0.087,-5.2,-,0.7293
pc_chair,can/mental,unit,237,533106,0,104739,444.6,0.0,85.02,0.0,6.544,inf,+,0.0
pc_chair,would/copular_nom,unit,219,533106,3,104739,410.8,28.6,57.62,0.0,3.623,1334.2,+,0.0
