variable,outcome_vs_will,coef,rrr,p
const,would,2.973,19.556,2.729303688844745e-38
const,could,-1.008,0.365,0.036196916734141
const,can,-4.833,0.008,1.7404420120571768e-07
const,should,-0.175,0.84,0.6360064366657672
const,may,-4.66,0.009,0.029898929944387746
period_late,would,-0.275,0.759,4.5998453861316684e-08
period_late,could,-0.259,0.772,0.0028196914482301674
period_late,can,0.111,1.117,0.11596382466706155
period_late,should,-0.435,0.647,2.0394995420157997e-06
period_late,may,-0.228,0.796,0.021091047771263135
subj_type_econ,would,-0.472,0.624,0.009699275125611093
subj_type_econ,could,1.729,5.637,0.0001222816017095988
subj_type_econ,can,1.735,5.672,0.015124878449772524
subj_type_econ,should,1.173,3.233,0.00031551561242378545
subj_type_econ,may,5.022,151.722,0.018621582999401767
subj_type_fed,would,-0.707,0.493,0.209588483878263
subj_type_fed,could,1.08,2.944,0.3265116126825708
subj_type_fed,can,3.473,32.249,6.811274905484996e-06
subj_type_fed,should,1.389,4.011,0.025848389193063676
subj_type_fed,may,3.855,47.249,0.10265732874926319
subj_type_it_there_rel,would,0.52,1.681,0.002908126868539473
subj_type_it_there_rel,could,3.092,22.028,1.939917566867247e-12
subj_type_it_there_rel,can,1.948,7.012,0.006142217713962026
subj_type_it_there_rel,should,1.089,2.971,0.0009316328141694259
subj_type_it_there_rel,may,5.629,278.355,0.00832941905828913
subj_type_none,would,0.873,2.394,0.0034628926312036353
subj_type_none,could,3.182,24.087,6.695023697348867e-09
subj_type_none,can,5.032,153.303,6.4471749121335855e-12
subj_type_none,should,1.744,5.722,0.0005714027042466181
subj_type_none,may,5.309,202.15,0.014810714226153182
subj_type_other,would,0.11,1.116,0.5422302799853399
subj_type_other,could,2.463,11.744,3.052310336014784e-08
subj_type_other,can,2.164,8.702,0.002395923961039129
subj_type_other,should,1.563,4.774,1.6669746076285495e-06
subj_type_other,may,5.213,183.697,0.014584313720086095
subj_type_person,would,0.579,1.785,0.002016621516894341
subj_type_person,could,2.576,13.146,1.5066716858918815e-08
subj_type_person,can,3.738,41.999,1.4493480691071059e-07
subj_type_person,should,1.478,4.383,1.725060890736841e-05
subj_type_person,may,5.001,148.53,0.019369663793041787
subj_type_risks,would,4.617,101.222,0.26656055151672986
subj_type_risks,could,-0.328,0.72,0.994215962923927
subj_type_risks,can,6.428,619.145,0.13325205832561643
subj_type_risks,should,-0.826,0.438,0.9775740386485142
subj_type_risks,may,9.882,19574.463,0.036805264476523845
subj_type_we_I,would,0.904,2.47,1.771574101509366e-07
subj_type_we_I,could,1.357,3.885,0.00259718815074686
subj_type_we_I,can,2.549,12.789,0.00032041777314143665
subj_type_we_I,should,0.505,1.658,0.12898259763390352
subj_type_we_I,may,3.607,36.871,0.09139153802165888
layer_pc_chair,would,-3.808,0.022,2.2682623451773206e-100
layer_pc_chair,could,-3.197,0.041,2.0379809678219814e-49
layer_pc_chair,can,1.154,3.171,0.05760528746166808
layer_pc_chair,should,-2.72,0.066,2.7592207376767896e-36
layer_pc_chair,may,-2.162,0.115,1.3950272285650338e-16
layer_statement,would,-5.475,0.004,2.91229587120826e-119
layer_statement,could,-3.361,0.035,3.999852839884136e-37
layer_statement,can,-1.715,0.18,0.02980556464124864
layer_statement,should,-3.429,0.032,4.857691016692855e-35
layer_statement,may,-2.8,0.061,3.3859534463748846e-18
cond,would,0.643,1.902,5.2162437691384794e-27
cond,could,1.118,3.059,2.088840367154134e-36
cond,can,0.29,1.336,0.00028565316090191275
cond,should,0.057,1.058,0.6397013659774562
cond,may,0.08,1.083,0.5169268783929242
reported,would,-0.03,0.97,0.6154844874939547
reported,could,-0.838,0.433,9.736493951902923e-13
reported,can,-0.22,0.803,0.007663684410054462
reported,should,-0.072,0.931,0.5012856823461231
reported,may,-0.681,0.506,1.2131267008938695e-07
