variable,outcome_vs_will,coef,rrr,p
const,would,2.261,9.594,2.484260967013445e-18
const,could,0.303,1.354,0.312960063235004
const,can,-4.227,0.015,5.503078749686978e-06
const,should,1.023,2.78,0.0006097289864784438
const,may,-1.616,0.199,0.0022673802964176936
period_late,would,-0.27,0.763,0.0013797487437071428
period_late,could,-0.156,0.855,0.08601768470636333
period_late,can,-0.148,0.862,0.19287207366148962
period_late,should,-0.537,0.584,7.1931341679007685e-06
period_late,may,-0.389,0.678,0.0003448605386600788
subj_type_econ,would,0.648,1.913,0.0027613880110367527
subj_type_econ,could,0.818,2.265,0.0007963638213127295
subj_type_econ,can,2.127,8.39,0.0035824078611276498
subj_type_econ,should,-0.532,0.587,0.03085022819294072
subj_type_econ,may,2.038,7.672,2.4205536633828025e-05
subj_type_fed,would,-0.042,0.959,0.920847015621755
subj_type_fed,could,-0.104,0.901,0.8324048646582938
subj_type_fed,can,2.967,19.424,0.00020477765479128
subj_type_fed,should,-0.09,0.914,0.8489558662884682
subj_type_fed,may,-0.388,0.678,0.7333340745133025
subj_type_it_there_rel,would,0.686,1.986,0.0021033111598176475
subj_type_it_there_rel,could,0.98,2.665,8.461189855399501e-05
subj_type_it_there_rel,can,2.119,8.326,0.00384980545551713
subj_type_it_there_rel,should,-1.325,0.266,4.007848553678328e-06
subj_type_it_there_rel,may,1.901,6.695,9.722171339706204e-05
subj_type_none,would,0.686,1.985,0.15388885894586113
subj_type_none,could,0.41,1.506,0.4439954643146795
subj_type_none,can,4.121,61.606,4.340677180763832e-07
subj_type_none,should,0.692,1.998,0.1812068944891423
subj_type_none,may,1.745,5.725,0.018015578593479166
subj_type_other,would,0.51,1.665,0.016168908253489545
subj_type_other,could,0.797,2.219,0.0008537621150010551
subj_type_other,can,2.131,8.422,0.003371761721647077
subj_type_other,should,-0.384,0.681,0.10661638778910759
subj_type_other,may,2.074,7.958,1.5304589181405877e-05
subj_type_person,would,0.948,2.581,0.00016041117896699116
subj_type_person,could,0.455,1.576,0.12150618946967219
subj_type_person,can,2.521,12.442,0.0007085851750771437
subj_type_person,should,-0.373,0.688,0.22109354148983595
subj_type_person,may,1.647,5.189,0.001510715337460574
subj_type_risks,would,3.04,20.913,0.4147695970505144
subj_type_risks,could,4.015,55.416,0.28137803940064243
subj_type_risks,can,6.23,507.856,0.10321572492955028
subj_type_risks,should,3.736,41.93,0.31705375146875814
subj_type_risks,may,5.953,384.952,0.11235721257827896
subj_type_we_I,would,-0.157,0.854,0.5075015670223294
subj_type_we_I,could,-0.944,0.389,0.0021842538840404924
subj_type_we_I,can,1.595,4.929,0.02898512015597002
subj_type_we_I,should,-1.012,0.364,0.0003676878018744127
subj_type_we_I,may,-0.541,0.582,0.3205036341958225
layer_min_participants,would,1.015,2.758,5.7047765834215865e-05
layer_min_participants,could,2.494,12.104,9.932713135263654e-20
layer_min_participants,can,1.088,2.968,0.12857513044430235
layer_min_participants,should,0.898,2.455,0.0016221272598534238
layer_min_participants,may,1.725,5.615,5.451566410140066e-08
layer_min_special,would,-0.926,0.396,5.635735043952719e-05
layer_min_special,could,0.826,2.284,0.0011944735270917447
layer_min_special,can,1.488,4.43,0.02209688393083001
layer_min_special,should,-0.566,0.568,0.04412066660918994
layer_min_special,may,-0.509,0.601,0.13769950592675792
layer_min_staff,would,0.151,1.163,0.6290090458303748
layer_min_staff,could,1.032,2.806,0.002254671546664161
layer_min_staff,can,0.119,1.126,0.9021484036465096
layer_min_staff,should,-1.752,0.173,0.0016261115295439074
layer_min_staff,may,1.091,2.978,0.004165294339744387
layer_min_staff_desk,would,-0.651,0.521,0.008865646973451444
layer_min_staff_desk,could,0.435,1.545,0.11853440429419554
layer_min_staff_desk,can,0.394,1.483,0.6065731177514737
layer_min_staff_desk,should,-0.885,0.413,0.006986690781242041
layer_min_staff_desk,may,0.241,1.272,0.47816449691049545
layer_speech_chair,would,-3.413,0.033,4.2294558628059503e-72
layer_speech_chair,could,-2.068,0.126,8.4806266200511e-21
layer_speech_chair,can,1.388,4.006,0.02134564802996268
layer_speech_chair,should,-2.066,0.127,8.523641216139008e-19
layer_speech_chair,may,-0.986,0.373,0.00019380307996219188
cond,would,0.32,1.377,0.0013998468352223552
cond,could,0.852,2.345,2.6095763616372237e-16
cond,can,0.319,1.375,0.014393091216665141
cond,should,-0.049,0.952,0.7372725794984339
cond,may,0.228,1.257,0.06963301432786631
reported,would,0.244,1.277,0.01635360826952747
reported,could,-0.53,0.589,1.4040738227066408e-06
reported,can,-0.552,0.576,0.0010770836934007356
reported,should,0.624,1.866,4.735312509237997e-06
reported,may,-0.4,0.67,0.002184676263865747
