variable,outcome_vs_will,coef,rrr,p
const,would,-0.55,0.577,0.002252138509175726
const,could,-4.641,0.01,9.602291305082908e-15
const,can,-3.648,0.026,4.048115353334035e-07
const,should,-5.267,0.005,6.157906180541683e-07
const,may,-7.989,0.0,0.04710880191251297
period_late,would,-0.248,0.78,1.4817868761029166e-06
period_late,could,-0.292,0.747,0.0011434622889361105
period_late,can,0.121,1.129,0.08559986770303989
period_late,should,-0.497,0.609,2.6860460317353855e-07
period_late,may,-0.224,0.799,0.026951333945517773
subj_type_econ,would,-0.919,0.399,3.272826054236043e-06
subj_type_econ,could,2.321,10.19,0.00012345793494638666
subj_type_econ,can,1.694,5.443,0.019727446837010183
subj_type_econ,should,3.682,39.715,0.000490766196658897
subj_type_econ,may,6.104,447.721,0.129296339726042
subj_type_fed,would,-0.98,0.375,0.08342451094509308
subj_type_fed,could,1.523,4.588,0.19654135125000527
subj_type_fed,can,3.456,31.695,1.0166244710451048e-05
subj_type_fed,should,3.814,45.321,0.0012004057815804367
subj_type_fed,may,5.01,149.851,0.2273556352583529
subj_type_it_there_rel,would,0.263,1.301,0.1494367119052295
subj_type_it_there_rel,could,3.49,32.782,4.837483933783305e-09
subj_type_it_there_rel,can,1.898,6.67,0.008693088882116836
subj_type_it_there_rel,should,3.533,34.242,0.0008304275076461413
subj_type_it_there_rel,may,6.769,870.647,0.0924857670076043
subj_type_none,would,0.607,1.836,0.045120716624786235
subj_type_none,could,3.72,41.268,4.5781052989353985e-08
subj_type_none,can,4.999,148.232,1.9193303471869792e-11
subj_type_none,should,3.899,49.33,0.000654283456851401
subj_type_none,may,6.482,653.32,0.10928038006300454
subj_type_other,would,-0.139,0.87,0.46588161292114516
subj_type_other,could,2.972,19.532,7.495688305318107e-07
subj_type_other,can,2.132,8.429,0.0032776284597211907
subj_type_other,should,3.787,44.111,0.0003430176415393052
subj_type_other,may,6.386,593.284,0.11253933124579185
subj_type_person,would,0.149,1.16,0.4540661098447507
subj_type_person,could,3.278,26.522,7.098291401142114e-08
subj_type_person,can,3.701,40.5,3.087122257978466e-07
subj_type_person,should,4.017,55.516,0.0001573451601026676
subj_type_person,may,6.224,504.921,0.12212203019279011
subj_type_risks,would,7.388,1616.682,0.6373780332264887
subj_type_risks,could,-0.268,0.765,0.9990197660511849
subj_type_risks,can,9.058,8590.983,0.5642719261212761
subj_type_risks,should,-0.301,0.74,0.9992234826347963
subj_type_risks,may,-0.264,0.768,0.9998123716125783
subj_type_we_I,would,0.602,1.826,0.0008917096245702907
subj_type_we_I,could,1.841,6.304,0.002314592065119229
subj_type_we_I,can,2.511,12.319,0.0004935239162423649
subj_type_we_I,should,2.914,18.429,0.005902210223909795
subj_type_we_I,may,4.761,116.829,0.236936265423064
layer_statement,would,-1.82,0.162,2.843625393423936e-24
layer_statement,could,-0.136,0.873,0.42205476952217424
layer_statement,can,-2.885,0.056,1.946316595138791e-08
layer_statement,should,-0.525,0.592,0.008103109946119574
layer_statement,may,-0.629,0.533,0.0030252770736890126
cond,would,0.702,2.019,4.47053010794558e-31
cond,could,0.972,2.644,1.8706404683935688e-25
cond,can,0.304,1.355,0.00014807181379362157
cond,should,0.109,1.115,0.3806834503648546
cond,may,0.078,1.081,0.5339157612683216
reported,would,-0.11,0.896,0.07764939655016277
reported,could,-0.598,0.55,6.200999977186436e-07
reported,can,-0.24,0.787,0.003647190564838653
reported,should,-0.103,0.902,0.3642961247414047
reported,may,-0.538,0.584,3.3991457617443485e-05
