layer,unit,n,share
min_boilerplate,may,159,0.4229
min_boilerplate,would,107,0.2846
min_boilerplate,could,60,0.1596
min_boilerplate,will,36,0.0957
min_boilerplate,should,12,0.0319
min_boilerplate,can,2,0.0053
min_committee,would,719,0.7505
min_committee,should,85,0.0887
min_committee,could,83,0.0866
min_committee,will,37,0.0386
min_committee,may,31,0.0324
min_committee,can,3,0.0031
min_directive_quote,will,48,0.4706
min_directive_quote,can,36,0.3529
min_directive_quote,could,18,0.1765
min_front_matter,would,40,0.5128
min_front_matter,will,17,0.2179
min_front_matter,should,8,0.1026
min_front_matter,could,7,0.0897
min_front_matter,can,4,0.0513
min_front_matter,may,2,0.0256
min_participants,would,1537,0.5577
min_participants,could,875,0.3175
min_participants,may,157,0.057
min_participants,should,149,0.0541
min_participants,will,30,0.0109
min_participants,can,8,0.0029
min_special,would,344,0.4393
min_special,could,283,0.3614
min_special,should,58,0.0741
min_special,will,49,0.0626
min_special,may,28,0.0358
min_special,can,21,0.0268
min_staff,would,327,0.6067
min_staff,could,132,0.2449
min_staff,may,57,0.1058
min_staff,will,16,0.0297
min_staff,should,5,0.0093
min_staff,can,2,0.0037
min_staff_desk,would,307,0.5552
min_staff_desk,could,138,0.2495
min_staff_desk,may,41,0.0741
min_staff_desk,will,35,0.0633
min_staff_desk,should,27,0.0488
min_staff_desk,can,5,0.009
min_statement_quote,will,601,0.7898
min_statement_quote,could,50,0.0657
min_statement_quote,would,49,0.0644
min_statement_quote,should,33,0.0434
min_statement_quote,may,26,0.0342
min_statement_quote,can,2,0.0026
min_vote,would,119,0.7169
min_vote,should,16,0.0964
min_vote,will,16,0.0964
min_vote,could,13,0.0783
min_vote,may,1,0.006
min_vote,can,1,0.006
pc_chair,will,4341,0.4062
pc_chair,would,3127,0.2926
pc_chair,can,1610,0.1507
pc_chair,could,626,0.0586
pc_chair,should,497,0.0465
pc_chair,may,485,0.0454
pc_journalist,would,784,0.3197
pc_journalist,could,586,0.239
pc_journalist,will,411,0.1676
pc_journalist,can,380,0.155
pc_journalist,should,195,0.0795
pc_journalist,may,96,0.0392
pc_moderator,will,80,0.9639
pc_moderator,can,2,0.0241
pc_moderator,may,1,0.012
speech_chair,will,1169,0.365
speech_chair,would,573,0.1789
speech_chair,can,514,0.1605
speech_chair,may,382,0.1193
speech_chair,could,355,0.1108
speech_chair,should,210,0.0656
statement,will,607,0.7883
statement,could,50,0.0649
statement,would,49,0.0636
statement,should,33,0.0429
statement,may,27,0.0351
statement,can,4,0.0052
statement_vote,will,5,0.5
statement_vote,should,5,0.5
