layer,modal_a,modal_b,jsd
min_statement_quote,could,may,1.0
min_statement_quote,can,should,1.0
min_statement_quote,can,may,1.0
min_statement_quote,should,may,1.0
min_vote,will,would,1.0
min_vote,will,could,1.0
min_vote,will,can,1.0
min_vote,will,should,1.0
min_vote,will,may,1.0
min_vote,would,could,1.0
min_vote,would,can,1.0
min_vote,would,should,1.0
min_vote,would,may,1.0
min_vote,could,can,1.0
min_vote,could,should,1.0
min_vote,could,may,1.0
min_vote,can,should,1.0
min_vote,can,may,1.0
min_vote,should,may,1.0
pc_chair,will,would,1.0
pc_chair,will,could,1.0
pc_chair,will,can,1.0
pc_chair,will,should,1.0
pc_chair,will,may,1.0
pc_chair,would,could,1.0
pc_chair,would,can,1.0
pc_chair,would,should,1.0
pc_chair,would,may,1.0
pc_chair,could,can,1.0
pc_chair,could,should,1.0
pc_chair,could,may,1.0
pc_chair,can,should,1.0
pc_chair,can,may,1.0
pc_chair,should,may,1.0
pc_journalist,will,would,1.0
pc_journalist,will,could,1.0
pc_journalist,will,can,1.0
pc_journalist,will,should,1.0
pc_journalist,will,may,1.0
pc_journalist,would,could,1.0
pc_journalist,would,can,1.0
pc_journalist,would,should,1.0
pc_journalist,would,may,1.0
pc_journalist,could,can,1.0
pc_journalist,could,should,1.0
pc_journalist,could,may,1.0
pc_journalist,can,should,1.0
pc_journalist,can,may,1.0
pc_journalist,should,may,1.0
pc_moderator,will,can,1.0
pc_moderator,will,may,1.0
pc_moderator,can,may,1.0
speech_chair,will,would,1.0
speech_chair,will,could,1.0
speech_chair,will,can,1.0
speech_chair,will,should,1.0
speech_chair,will,may,1.0
speech_chair,would,could,1.0
speech_chair,would,can,1.0
speech_chair,would,should,1.0
speech_chair,would,may,1.0
speech_chair,could,can,1.0
speech_chair,could,should,1.0
speech_chair,could,may,1.0
speech_chair,can,should,1.0
speech_chair,can,may,1.0
speech_chair,should,may,1.0
statement,will,would,1.0
statement,will,could,1.0
statement,will,can,1.0
statement,will,should,1.0
statement,will,may,1.0
statement,would,could,1.0
statement,would,can,1.0
statement,would,should,1.0
statement,would,may,1.0
statement,could,can,1.0
statement,could,should,1.0
statement,could,may,1.0
statement,can,should,1.0
statement,can,may,1.0
statement,should,may,1.0
statement_vote,will,should,1.0
