layer,modal,unit,n,share,rank,modal_n
min_boilerplate,can,can,2,1.0,1,2
min_boilerplate,could,could,60,1.0,1,60
min_boilerplate,may,may,159,1.0,1,159
min_boilerplate,should,should,12,1.0,1,12
min_boilerplate,will,will,36,1.0,1,36
min_boilerplate,would,would,107,1.0,1,107
min_committee,can,can,3,1.0,1,3
min_committee,could,could,83,1.0,1,83
min_committee,may,may,31,1.0,1,31
min_committee,should,should,85,1.0,1,85
min_committee,will,will,37,1.0,1,37
min_committee,would,would,719,1.0,1,719
min_directive_quote,can,can,36,1.0,1,36
min_directive_quote,could,could,18,1.0,1,18
min_directive_quote,will,will,48,1.0,1,48
min_front_matter,can,can,4,1.0,1,4
min_front_matter,could,could,7,1.0,1,7
min_front_matter,may,may,2,1.0,1,2
min_front_matter,should,should,8,1.0,1,8
min_front_matter,will,will,17,1.0,1,17
min_front_matter,would,would,40,1.0,1,40
min_participants,can,can,8,1.0,1,8
min_participants,could,could,875,1.0,1,875
min_participants,may,may,157,1.0,1,157
min_participants,should,should,149,1.0,1,149
min_participants,will,will,30,1.0,1,30
min_participants,would,would,1537,1.0,1,1537
min_special,can,can,21,1.0,1,21
min_special,could,could,283,1.0,1,283
min_special,may,may,28,1.0,1,28
min_special,should,should,58,1.0,1,58
min_special,will,will,49,1.0,1,49
min_special,would,would,344,1.0,1,344
min_staff,can,can,2,1.0,1,2
min_staff,could,could,132,1.0,1,132
min_staff,may,may,57,1.0,1,57
min_staff,should,should,5,1.0,1,5
min_staff,will,will,16,1.0,1,16
min_staff,would,would,327,1.0,1,327
min_staff_desk,can,can,5,1.0,1,5
min_staff_desk,could,could,138,1.0,1,138
min_staff_desk,may,may,41,1.0,1,41
min_staff_desk,should,should,27,1.0,1,27
min_staff_desk,will,will,35,1.0,1,35
min_staff_desk,would,would,307,1.0,1,307
min_statement_quote,can,can,2,1.0,1,2
min_statement_quote,could,could,50,1.0,1,50
min_statement_quote,may,may,26,1.0,1,26
min_statement_quote,should,should,33,1.0,1,33
min_statement_quote,will,will,601,1.0,1,601
min_statement_quote,would,would,49,1.0,1,49
min_vote,can,can,1,1.0,1,1
min_vote,could,could,13,1.0,1,13
min_vote,may,may,1,1.0,1,1
min_vote,should,should,16,1.0,1,16
min_vote,will,will,16,1.0,1,16
min_vote,would,would,119,1.0,1,119
pc_chair,can,can,1610,1.0,1,1610
pc_chair,could,could,626,1.0,1,626
pc_chair,may,may,485,1.0,1,485
pc_chair,should,should,497,1.0,1,497
pc_chair,will,will,4341,1.0,1,4341
pc_chair,would,would,3127,1.0,1,3127
pc_journalist,can,can,380,1.0,1,380
pc_journalist,could,could,586,1.0,1,586
pc_journalist,may,may,96,1.0,1,96
pc_journalist,should,should,195,1.0,1,195
pc_journalist,will,will,411,1.0,1,411
pc_journalist,would,would,784,1.0,1,784
pc_moderator,can,can,2,1.0,1,2
pc_moderator,may,may,1,1.0,1,1
pc_moderator,will,will,80,1.0,1,80
speech_chair,can,can,514,1.0,1,514
speech_chair,could,could,355,1.0,1,355
speech_chair,may,may,382,1.0,1,382
speech_chair,should,should,210,1.0,1,210
speech_chair,will,will,1169,1.0,1,1169
speech_chair,would,would,573,1.0,1,573
statement,can,can,4,1.0,1,4
statement,could,could,50,1.0,1,50
statement,may,may,27,1.0,1,27
statement,should,should,33,1.0,1,33
statement,will,will,607,1.0,1,607
statement,would,would,49,1.0,1,49
statement_vote,should,should,5,1.0,1,5
statement_vote,will,will,5,1.0,1,5
