layer,unit,n_tokens,zero_T1,rho_cfnai_T1,p_cfnai_T1,rho_vix_T1,p_vix_T1,hac_b_cfnai_T1,hac_p_cfnai_T1,hac_b_vix_T1,hac_p_vix_T1,zero_T2,rho_cfnai_T2,p_cfnai_T2,rho_vix_T2,p_vix_T2,hac_b_cfnai_T2,hac_p_cfnai_T2,hac_b_vix_T2,hac_p_vix_T2,zero_T3,rho_cfnai_T3,p_cfnai_T3,rho_vix_T3,p_vix_T3
min_special,will,49,0.62,0.114,0.4847,-0.061,0.7102,-0.0001,0.9991,-0.2082,0.094,0.67,0.108,0.5301,-0.097,0.575,2.6007,0.3692,-0.2936,0.0979,0.69,0.104,0.478,-0.034,0.8172
min_staff,ALL,539,0.0,0.075,0.4586,-0.333,0.0008,-0.0316,0.3398,-0.0443,0.0307,0.0,0.092,0.3861,-0.361,0.0004,0.5004,0.3091,-0.0723,0.0055,0.01,0.058,0.5082,-0.393,0.0
min_staff,would,327,0.07,0.128,0.2073,-0.229,0.0228,-0.0235,0.4311,-0.0132,0.4363,0.08,0.177,0.0928,-0.32,0.002,0.7418,0.0021,-0.0445,0.0108,0.07,0.104,0.2359,-0.269,0.0019
min_staff,could,132,0.36,-0.014,0.8903,-0.266,0.0078,0.015,0.518,-0.021,0.0105,0.34,-0.041,0.6998,-0.204,0.0525,-0.2156,0.4415,-0.0178,0.1412,0.44,-0.002,0.9832,-0.305,0.0004
min_staff,may,57,0.54,0.013,0.9022,-0.255,0.0109,-0.0344,0.0035,-0.0121,0.0021,0.51,0.049,0.6442,-0.227,0.0302,0.042,0.755,-0.0138,0.0225,0.53,-0.007,0.9365,-0.267,0.0021
min_staff_desk,ALL,553,0.15,0.139,0.17,0.139,0.1699,0.4193,0.026,0.081,0.3874,0.16,0.161,0.1262,0.119,0.2593,4.3483,0.1441,0.0293,0.858,0.24,0.135,0.1235,0.113,0.1999
min_staff_desk,would,307,0.18,0.089,0.3831,0.126,0.2131,0.1026,0.3566,0.044,0.4549,0.2,0.123,0.2436,0.097,0.3586,1.8342,0.2426,0.0364,0.7212,0.27,0.132,0.1337,0.134,0.128
min_staff_desk,could,138,0.43,0.213,0.0344,0.211,0.0358,0.2237,0.0012,0.0568,0.0387,0.45,0.252,0.0161,0.222,0.0347,1.6548,0.0737,0.0478,0.2682,0.48,0.182,0.0378,0.147,0.0949
min_staff_desk,may,41,0.72,-0.003,0.9764,-0.003,0.98,-0.0285,0.4486,-0.0108,0.3276,0.7,0.028,0.7954,0.041,0.6995,0.2096,0.6853,-0.0041,0.8275,0.77,-0.003,0.9713,-0.069,0.4369
min_staff_desk,will,35,0.77,0.026,0.7949,-0.14,0.166,0.0543,0.1086,-0.0157,0.3483,0.77,0.012,0.9117,-0.131,0.2149,-0.0093,0.9744,-0.0299,0.1117,0.79,0.006,0.943,-0.132,0.1332
min_staff_desk,should,27,0.84,0.055,0.588,0.046,0.6536,0.0536,0.0354,-0.0008,0.9619,0.85,0.032,0.7655,-0.003,0.9773,0.4497,0.4139,-0.0205,0.4682,0.82,0.04,0.6506,0.104,0.2376
min_statement_quote,ALL,761,0.0,-0.163,0.1063,0.109,0.2834,-0.1857,0.1853,0.0782,0.2191,0.0,-0.205,0.0516,0.06,0.5719,-3.2984,0.1806,0.0989,0.2517,0.0,-0.122,0.164,-0.084,0.3389
min_statement_quote,will,601,0.0,-0.092,0.3634,-0.134,0.1876,-0.6745,0.0001,0.0012,0.9907,0.0,-0.09,0.3951,-0.322,0.0019,-0.6258,0.6564,-0.1739,0.0433,0.0,-0.084,0.3428,-0.224,0.0101
min_statement_quote,could,50,0.49,-0.075,0.4634,0.36,0.0003,0.2343,0.0,0.0732,0.1207,0.48,-0.175,0.0978,0.444,0.0,-1.2694,0.1966,0.169,0.0,0.59,-0.024,0.7853,0.198,0.0234
min_statement_quote,would,49,0.53,-0.03,0.7659,0.364,0.0002,0.2612,0.0,0.0761,0.1091,0.52,-0.115,0.2767,0.448,0.0,-0.6717,0.5923,0.1681,0.0,0.63,-0.017,0.8441,0.235,0.0069
min_statement_quote,should,33,0.73,-0.016,0.8749,-0.33,0.0008,-0.0019,0.9393,-0.0463,0.0206,0.7,-0.026,0.8053,-0.306,0.0032,-0.0622,0.9153,-0.0548,0.071,0.69,-0.063,0.4719,-0.352,0.0
min_vote,ALL,166,0.05,0.224,0.0255,-0.187,0.0644,0.1752,0.216,-0.1287,0.141,0.05,0.228,0.0294,-0.213,0.0422,3.2389,0.1634,-0.1799,0.1852,0.04,0.12,0.1724,0.009,0.9152
min_vote,would,119,0.05,0.208,0.0391,-0.104,0.3077,-0.0983,0.3252,-0.0505,0.3265,0.05,0.258,0.0134,-0.121,0.2543,1.9202,0.0885,-0.059,0.4746,0.05,0.041,0.6415,0.041,0.646
min_vote,could,13,0.91,-0.081,0.4281,0.095,0.3486,0.0162,0.8046,0.0241,0.3207,0.91,-0.085,0.4233,0.078,0.4618,-0.6727,0.3597,0.0419,0.231,0.82,0.024,0.7833,0.211,0.0158
pc_chair,ALL,10686,0.0,0.216,0.0538,0.319,0.004,0.3414,0.0155,0.1816,0.0,0.0,0.258,0.0302,0.297,0.0118,2.4815,0.0432,0.1187,0.0043,0.0,0.142,0.1764,0.293,0.0047
pc_chair,will,4341,0.0,0.124,0.2736,0.311,0.0049,0.3533,0.0,0.1553,0.0002,0.0,0.139,0.2466,0.313,0.0078,1.4144,0.2877,0.1081,0.0674,0.0,0.077,0.4679,0.248,0.017
pc_chair,would,3127,0.0,0.2,0.0751,-0.099,0.3841,0.1879,0.0085,-0.0306,0.2952,0.0,0.142,0.238,-0.035,0.7738,0.341,0.6161,0.0047,0.892,0.0,0.17,0.1059,-0.04,0.7074
pc_chair,can,1610,0.0,0.068,0.548,0.422,0.0001,-0.1598,0.0,0.084,0.0,0.0,0.134,0.265,0.323,0.006,0.3431,0.4323,0.0586,0.0438,0.0,0.037,0.727,0.405,0.0001
pc_chair,could,626,0.01,0.061,0.588,-0.287,0.01,-0.0901,0.0184,-0.026,0.057,0.0,0.083,0.4906,-0.322,0.0062,0.364,0.0771,-0.0456,0.0187,0.01,0.041,0.7006,-0.318,0.002
pc_chair,should,497,0.01,0.173,0.1238,0.038,0.7404,0.0413,0.02,-0.0003,0.9702,0.01,0.102,0.3976,-0.022,0.8542,0.0922,0.7277,-0.0017,0.9059,0.01,0.135,0.1997,0.121,0.2491
pc_chair,may,485,0.01,0.019,0.866,-0.024,0.8357,0.0088,0.6389,-0.0008,0.9092,0.0,-0.051,0.6744,-0.085,0.4816,-0.0733,0.7773,-0.0054,0.6272,0.01,0.032,0.7633,-0.049,0.6448
pc_journalist,ALL,2452,0.0,0.127,0.2607,-0.014,0.9001,0.6243,0.0,-0.0039,0.9378,0.0,0.089,0.4617,-0.035,0.7749,3.1037,0.1037,-0.0761,0.3266,0.0,0.094,0.3721,0.063,0.5524
pc_journalist,would,784,0.0,-0.005,0.9677,-0.214,0.0568,0.1435,0.0466,-0.0697,0.0052,0.0,-0.036,0.7667,-0.204,0.0881,0.339,0.6793,-0.0933,0.015,0.0,-0.026,0.8085,-0.151,0.152
pc_journalist,could,586,0.0,0.004,0.9728,0.053,0.6395,0.1143,0.3865,0.0082,0.7985,0.0,-0.029,0.8126,0.027,0.826,0.7169,0.5599,-0.0052,0.9256,0.0,-0.012,0.9077,0.108,0.3055
pc_journalist,will,411,0.01,0.068,0.549,0.072,0.5244,0.1618,0.1448,0.0123,0.7274,0.01,0.133,0.2704,0.232,0.0514,0.708,0.2083,0.0763,0.0008,0.01,0.03,0.7744,0.02,0.8524
pc_journalist,can,380,0.03,-0.038,0.7408,0.131,0.2476,-0.012,0.9087,0.0376,0.2743,0.03,-0.074,0.5389,-0.045,0.7095,0.7446,0.3941,-0.0206,0.6426,0.02,-0.024,0.8184,0.139,0.1879
pc_journalist,should,195,0.1,0.168,0.136,0.009,0.9386,0.1486,0.0,0.0061,0.7375,0.1,0.16,0.1833,-0.054,0.6544,0.7308,0.1617,-0.0254,0.2603,0.09,0.22,0.0355,0.034,0.749
pc_journalist,may,96,0.34,-0.032,0.7761,-0.072,0.5248,0.0681,0.0344,0.0015,0.9151,0.32,-0.023,0.8515,-0.074,0.5385,-0.1355,0.6146,-0.008,0.5267,0.3,-0.052,0.6208,-0.026,0.805
pc_moderator,ALL,83,0.45,0.462,0.0008,0.386,0.0062,2.6838,0.1292,1.7175,0.0244,0.5,0.607,0.0,0.384,0.012,53.2191,0.0,1.557,0.236,0.45,0.462,0.0008,0.386,0.0062
pc_moderator,will,80,0.45,0.465,0.0008,0.381,0.0069,2.6252,0.1395,1.6229,0.0348,0.5,0.607,0.0,0.384,0.012,53.2546,0.0,1.455,0.2827,0.45,0.465,0.0008,0.381,0.0069
speech_chair,ALL,3203,0.0,-0.096,0.2906,-0.017,0.8507,-0.4404,0.0408,0.062,0.3755,0.0,-0.074,0.4246,-0.074,0.4242,-2.0399,0.2259,-0.046,0.6211,0.0,-0.131,0.084,-0.008,0.9209
speech_chair,will,1169,0.04,-0.099,0.274,0.102,0.2587,-0.1894,0.0895,0.0756,0.0168,0.04,-0.077,0.4094,0.069,0.4606,-0.9481,0.4975,0.0775,0.2064,0.05,-0.091,0.2325,0.076,0.3211
speech_chair,would,573,0.2,-0.053,0.5609,-0.209,0.0199,0.2034,0.0047,-0.0246,0.1933,0.2,-0.103,0.2652,-0.227,0.0135,-0.741,0.2897,-0.0538,0.1438,0.16,-0.068,0.3725,-0.216,0.0042
speech_chair,can,514,0.12,-0.03,0.7393,0.145,0.1072,-0.7104,0.0,0.061,0.0081,0.13,0.073,0.4331,0.077,0.4089,0.745,0.309,0.0161,0.7352,0.1,-0.079,0.2978,0.121,0.1108
speech_chair,may,382,0.27,-0.06,0.508,-0.11,0.2238,0.0421,0.6352,-0.0269,0.0693,0.25,-0.103,0.2672,-0.072,0.4399,-1.2525,0.104,-0.0051,0.857,0.25,-0.04,0.5987,-0.062,0.4154
speech_chair,could,355,0.35,-0.011,0.9002,-0.153,0.0898,0.1377,0.0166,-0.0273,0.0251,0.35,-0.047,0.6111,-0.163,0.0777,0.4018,0.4139,-0.056,0.0051,0.34,-0.043,0.5699,-0.087,0.254
speech_chair,should,210,0.45,-0.008,0.9309,-0.193,0.0321,0.0763,0.2424,0.0042,0.8436,0.45,-0.036,0.7024,-0.191,0.0387,-0.245,0.6709,-0.0247,0.306,0.41,-0.068,0.3756,-0.059,0.4361
statement,ALL,770,0.0,-0.124,0.2158,0.061,0.5425,-0.2078,0.1953,0.0023,0.9743,0.0,-0.178,0.0909,0.045,0.6729,-2.5642,0.2616,0.0831,0.3078,0.0,-0.096,0.2697,-0.116,0.185
statement,will,607,0.0,-0.049,0.6252,-0.186,0.062,-0.6926,0.0012,-0.0556,0.4005,0.0,-0.07,0.509,-0.339,0.001,-0.1414,0.9184,-0.1839,0.033,0.0,-0.05,0.5647,-0.259,0.0026
statement,could,50,0.5,-0.062,0.535,0.332,0.0007,0.2237,0.0,0.0449,0.3408,0.48,-0.167,0.1127,0.451,0.0,-1.1499,0.2265,0.1657,0.0,0.59,-0.017,0.8452,0.182,0.0357
statement,would,49,0.53,-0.018,0.8561,0.338,0.0005,0.2503,0.0,0.0469,0.325,0.52,-0.106,0.3153,0.455,0.0,-0.5507,0.6531,0.1646,0.0,0.63,-0.01,0.9095,0.221,0.0107
statement,should,33,0.73,-0.012,0.9054,-0.337,0.0006,0.0009,0.9733,-0.0394,0.0222,0.7,-0.028,0.7928,-0.305,0.0032,-0.0724,0.9001,-0.0541,0.071,0.7,-0.061,0.4869,-0.363,0.0
statement_vote,ALL,10,0.95,0.213,0.0336,-0.061,0.5465,0.3694,0.0262,-0.0317,0.5222,0.96,0.162,0.125,-0.121,0.2521,1.4643,0.3032,-0.0813,0.2272,0.84,0.009,0.9184,-0.044,0.6143
