layer,year,tokens,six_modal,pmw,will_pmw,would_pmw,could_pmw,can_pmw,should_pmw,may_pmw
min_staff_desk,2014,6374,103,16159.4,1098.2,8471.9,3922.2,0.0,1725.8,941.3
min_staff_desk,2015,4252,41,9642.5,1175.9,5409.2,1881.5,0.0,705.6,470.4
min_staff_desk,2016,2916,18,6172.8,342.9,3429.4,1371.7,0.0,685.9,342.9
min_staff_desk,2017,2800,7,2500.0,0.0,2142.9,357.1,0.0,0.0,0.0
min_staff_desk,2018,6079,38,6251.0,164.5,2632.0,2467.5,164.5,0.0,822.5
min_staff_desk,2019,6375,51,8000.0,627.5,4392.2,2039.2,0.0,156.9,784.3
min_staff_desk,2020,6138,52,8471.8,651.7,5213.4,1955.0,162.9,325.8,162.9
min_staff_desk,2021,7546,69,9143.9,132.5,5035.8,2517.9,265.0,530.1,662.6
min_staff_desk,2022,7012,61,8699.4,0.0,5847.1,2567.0,0.0,0.0,285.2
min_staff_desk,2023,5174,38,7344.4,773.1,3092.4,1739.5,0.0,579.8,1159.6
min_staff_desk,2024,6365,28,4399.1,628.4,2356.6,1099.8,157.1,157.1,0.0
min_staff_desk,2025,7775,41,5273.3,257.2,3344.1,771.7,0.0,0.0,900.3
min_staff_desk,2026,3136,6,1913.3,637.8,637.8,318.9,0.0,0.0,318.9
min_staff,2014,20602,40,1941.6,48.5,1698.9,97.1,0.0,0.0,97.1
min_staff,2015,19305,39,2020.2,0.0,1295.0,207.2,51.8,51.8,414.4
min_staff,2016,23241,48,2065.3,129.1,1290.8,301.2,0.0,0.0,344.2
min_staff,2017,22487,72,3201.8,44.5,1912.2,800.5,0.0,0.0,444.7
min_staff,2018,20545,75,3650.5,48.7,1752.3,1314.2,0.0,48.7,486.7
min_staff,2019,22779,59,2590.1,175.6,1185.3,1053.6,0.0,0.0,175.6
min_staff,2020,24739,41,1657.3,40.4,1333.9,161.7,0.0,40.4,80.8
min_staff,2021,23485,35,1490.3,0.0,1277.4,170.3,0.0,0.0,42.6
min_staff,2022,19377,38,1961.1,51.6,1238.6,464.5,51.6,0.0,154.8
min_staff,2023,18773,40,2130.7,0.0,1171.9,639.2,0.0,106.5,213.1
min_staff,2024,15488,25,1614.2,64.6,581.1,903.9,0.0,0.0,64.6
min_staff,2025,14122,19,1345.4,141.6,637.3,424.9,0.0,0.0,141.6
min_staff,2026,4942,8,1618.8,202.3,809.4,202.3,0.0,0.0,404.7
min_participants,2014,15154,161,10624.3,395.9,5675.1,3035.5,132.0,923.8,461.9
min_participants,2015,18226,245,13442.3,329.2,7681.3,3511.5,0.0,1207.1,713.3
min_participants,2016,21140,219,10359.5,94.6,5487.2,3595.1,0.0,756.9,425.7
min_participants,2017,19874,234,11774.2,151.0,6692.2,3421.6,50.3,805.1,654.1
