level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,category,unit_level
genre,minutes,could,vix,0.219,0.0293,0.225,0.0317,0.092,0.341,-0.043,1511,0.0,era_composition,modal
genre,minutes,may,vix,-0.232,0.0208,-0.176,0.0951,-0.329,0.158,-0.558,314,0.101,T1_only,modal
genre,minutes,would,cfnai,0.209,0.0377,0.292,0.0049,0.175,0.255,0.21,3234,0.0,confirmed,modal
genre,press_conf,ALL,vix,0.319,0.004,0.297,0.0118,0.293,,0.252,10686,0.0,era_composition,modal
genre,press_conf,can,vix,0.422,0.0001,0.323,0.006,0.405,,0.158,1610,0.0,era_composition,modal
genre,press_conf,could,vix,-0.287,0.01,-0.322,0.0062,-0.318,,-0.256,626,0.013,era_composition,modal
genre,press_conf,will,vix,0.311,0.0049,0.313,0.0078,0.248,,0.236,4341,0.0,era_composition,modal
genre,speech,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
genre,speech,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
layer,min_committee,could,cfnai,-0.251,0.0122,-0.37,0.0003,-0.13,-0.415,-0.548,83,0.293,confirmed,modal
layer,min_committee,could,vix,0.245,0.0144,0.337,0.0011,0.255,0.19,-0.12,83,0.293,era_composition,modal
layer,min_committee,would,cfnai,0.257,0.0103,0.304,0.0034,0.27,0.327,0.278,719,0.0,confirmed,modal
layer,min_participants,should,vix,-0.239,0.0174,-0.244,0.0199,-0.292,-0.085,-0.155,149,0.283,confirmed,modal
layer,min_participants,would,vix,0.24,0.0166,0.175,0.0978,0.145,-0.044,0.282,1537,0.0,T1_only,modal
layer,min_special,should,vix,0.325,0.0409,0.443,0.0068,0.337,,,58,0.325,era_composition,modal
layer,min_staff,ALL,vix,-0.333,0.0008,-0.361,0.0004,-0.393,-0.197,-0.235,539,0.0,confirmed,modal
layer,min_staff,could,vix,-0.266,0.0078,-0.204,0.0525,-0.305,-0.108,-0.337,132,0.364,T1_only,modal
