layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,4378,595939,14484.8,7346.4,207.19,0.0,0.98,97.2,+,0.0
statement,would,modal,49,41906,3846,595939,1169.3,6453.7,263.35,0.0,-2.45,-81.9,-,0.0
statement,could,modal,50,41906,709,595939,1193.1,1189.7,0.0,0.9843,0.017,0.3,+,0.9843
statement,can,modal,4,41906,1613,595939,95.5,2706.7,185.0,0.0,-4.656,-96.5,-,0.0
statement,should,modal,33,41906,582,595939,787.5,976.6,1.54,0.2141,-0.29,-19.4,-,0.2569
statement,may,modal,27,41906,516,595939,644.3,865.9,2.45,0.1174,-0.401,-25.6,-,0.176
min_committee,will,modal,37,62833,4948,575012,588.9,8605.0,761.2,0.0,-3.85,-93.2,-,0.0
min_committee,would,modal,719,62833,3176,575012,11443.0,5523.4,265.57,0.0,1.052,107.2,+,0.0
min_committee,could,modal,83,62833,676,575012,1321.0,1175.6,0.97,0.3236,0.176,12.4,+,0.3236
min_committee,can,modal,3,62833,1614,575012,47.7,2806.9,304.93,0.0,-5.656,-98.3,-,0.0
min_committee,should,modal,85,62833,530,575012,1352.8,921.7,9.83,0.0017,0.561,46.8,+,0.0021
min_committee,may,modal,31,62833,512,575012,493.4,890.4,12.18,0.0005,-0.83,-44.6,-,0.0007
pc_chair,will,modal,4341,533106,644,104739,8142.8,6148.6,47.42,0.0,0.404,32.4,+,0.0
pc_chair,would,modal,3127,533106,768,104739,5865.6,7332.5,29.34,0.0,-0.323,-20.0,-,0.0
pc_chair,could,modal,626,533106,133,104739,1174.3,1269.8,0.66,0.4165,-0.117,-7.5,-,0.4165
pc_chair,can,modal,1610,533106,7,104739,3020.0,66.8,512.72,0.0,5.399,4418.8,+,0.0
pc_chair,should,modal,497,533106,118,104739,932.3,1126.6,3.29,0.0698,-0.278,-17.2,-,0.0838
pc_chair,may,modal,485,533106,58,104739,909.8,553.8,14.54,0.0001,0.705,64.3,+,0.0002
