key,unit,period,macro,lag,p_text_to_macro,p_macro_to_text,n,q_text_to_macro
press_conf,may,T1,cfnai,1,0.4803,0.9946,80,0.7135
press_conf,may,T1,cfnai,2,0.221,0.6372,80,0.5101
press_conf,may,T1,cfnai,3,0.4273,0.7525,80,0.6828
press_conf,may,T1,vix,1,0.7525,0.8086,80,0.8561
press_conf,may,T1,vix,2,0.9927,0.8384,80,0.9927
press_conf,may,T1,vix,3,0.9787,0.9514,80,0.9787
press_conf,may,T2,cfnai,1,0.7321,0.9197,71,0.8533
press_conf,may,T2,cfnai,2,0.7651,0.8551,71,0.9181
press_conf,may,T2,cfnai,3,0.543,0.8411,71,0.8885
press_conf,may,T2,vix,1,0.3991,0.6351,71,0.5725
press_conf,may,T2,vix,2,0.6733,0.3918,71,0.8782
press_conf,may,T2,vix,3,0.8303,0.5698,71,0.9225
press_conf,should,T1,cfnai,1,0.2586,0.2702,80,0.6871
press_conf,should,T1,cfnai,2,0.2822,0.5272,80,0.5291
press_conf,should,T1,cfnai,3,0.4324,0.6778,80,0.6828
press_conf,should,T1,vix,1,0.4444,0.2332,80,0.7135
press_conf,should,T1,vix,2,0.2617,0.3305,80,0.5291
press_conf,should,T1,vix,3,0.2431,0.5589,80,0.4744
press_conf,should,T2,cfnai,1,0.109,0.4427,71,0.5725
press_conf,should,T2,cfnai,2,0.2673,0.9378,71,0.7289
press_conf,should,T2,cfnai,3,0.3756,0.7228,71,0.8885
press_conf,should,T2,vix,1,0.4008,0.3059,71,0.5725
press_conf,should,T2,vix,2,0.1689,0.7065,71,0.6988
press_conf,should,T2,vix,3,0.1764,0.8875,71,0.8037
press_conf,will,T1,cfnai,1,0.1682,0.0979,80,0.5917
press_conf,will,T1,cfnai,2,0.1787,0.1224,80,0.4875
press_conf,will,T1,cfnai,3,0.1988,0.2447,80,0.4587
press_conf,will,T1,vix,1,0.1016,0.0728,80,0.5082
press_conf,will,T1,vix,2,0.275,0.5415,80,0.5291
press_conf,will,T1,vix,3,0.3569,0.6186,80,0.6298
press_conf,will,T2,cfnai,1,0.7489,0.1868,71,0.8533
press_conf,will,T2,cfnai,2,0.2457,0.1938,71,0.7289
press_conf,will,T2,cfnai,3,0.1207,0.4173,71,0.8037
press_conf,will,T2,vix,1,0.9309,0.0403,71,0.973
press_conf,will,T2,vix,2,0.9822,0.1884,71,0.9822
press_conf,will,T2,vix,3,0.9594,0.1062,71,0.9594
press_conf,would,T1,cfnai,1,0.152,0.1241,80,0.5917
press_conf,would,T1,cfnai,2,0.1462,0.4178,80,0.4583
press_conf,would,T1,cfnai,3,0.253,0.53,80,0.4744
press_conf,would,T1,vix,1,0.5802,0.1477,80,0.7568
press_conf,would,T1,vix,2,0.7155,0.5113,80,0.8386
press_conf,would,T1,vix,3,0.5225,0.575,80,0.7837
press_conf,would,T2,cfnai,1,0.2543,0.0504,71,0.5725
press_conf,would,T2,cfnai,2,0.0911,0.1734,71,0.6988
press_conf,would,T2,cfnai,3,0.093,0.1333,71,0.8037
press_conf,would,T2,vix,1,0.3531,0.4432,71,0.5725
press_conf,would,T2,vix,2,0.5778,0.6185,71,0.8643
press_conf,would,T2,vix,3,0.829,0.7632,71,0.9225
statement,ALL,T1,cfnai,1,0.0206,0.3315,101,0.1548
statement,ALL,T1,cfnai,2,0.0549,0.1438,101,0.2183
statement,ALL,T1,cfnai,3,0.0515,0.1184,101,0.238
statement,ALL,T1,vix,1,0.0624,0.0345,101,0.3745
statement,ALL,T1,vix,2,0.0507,0.0248,101,0.2183
statement,ALL,T1,vix,3,0.0905,0.0007,101,0.3392
statement,ALL,T2,cfnai,1,0.6154,0.1263,91,0.8391
statement,ALL,T2,cfnai,2,0.4075,0.2811,91,0.7641
statement,ALL,T2,cfnai,3,0.6811,0.4951,91,0.889
statement,ALL,T2,vix,1,0.3145,0.2945,91,0.5725
statement,ALL,T2,vix,2,0.16,0.4617,91,0.6988
statement,ALL,T2,vix,3,0.2143,0.2441,91,0.8037
statement,could,T1,cfnai,1,0.7148,0.0013,101,0.8561
statement,could,T1,cfnai,2,0.3848,0.0002,101,0.6776
statement,could,T1,cfnai,3,0.194,0.0,101,0.4587
statement,could,T1,vix,1,0.8152,0.3723,101,0.8733
statement,could,T1,vix,2,0.6591,0.4159,101,0.8386
statement,could,T1,vix,3,0.8214,0.2871,101,0.9787
statement,could,T2,cfnai,1,0.3393,0.4179,91,0.5725
statement,could,T2,cfnai,2,0.3731,0.6842,91,0.7606
statement,could,T2,cfnai,3,0.5553,0.8189,91,0.8885
statement,could,T2,vix,1,0.2259,0.6007,91,0.5725
statement,could,T2,vix,2,0.1523,0.7311,91,0.6988
statement,could,T2,vix,3,0.3617,0.73,91,0.8885
statement,will,T1,cfnai,1,0.0007,0.0371,101,0.0202
statement,will,T1,cfnai,2,0.0107,0.0078,101,0.1139
statement,will,T1,cfnai,3,0.0061,0.0262,101,0.0914
statement,will,T1,vix,1,0.1972,0.2054,101,0.5917
statement,will,T1,vix,2,0.1528,0.3141,101,0.4583
statement,will,T1,vix,3,0.1718,0.0041,101,0.4587
statement,will,T2,cfnai,1,0.343,0.3156,91,0.5725
statement,will,T2,cfnai,2,0.4875,0.5271,91,0.8143
statement,will,T2,cfnai,3,0.5627,0.6129,91,0.8885
statement,will,T2,vix,1,0.1034,0.4536,91,0.5725
statement,will,T2,vix,2,0.0342,0.744,91,0.6988
statement,will,T2,vix,3,0.0764,0.5027,91,0.8037
statement,would,T1,cfnai,1,0.7137,0.0249,101,0.8561
statement,would,T1,cfnai,2,0.6316,0.0221,101,0.8386
statement,would,T1,cfnai,3,0.6761,0.004,101,0.9218
statement,would,T1,vix,1,0.8733,0.7377,101,0.8733
statement,would,T1,vix,2,0.8819,0.661,101,0.9123
statement,would,T1,vix,3,0.9518,0.4323,101,0.9787
statement,would,T2,cfnai,1,0.3123,0.6412,91,0.5725
statement,would,T2,cfnai,2,0.5038,0.4927,91,0.8143
statement,would,T2,cfnai,3,0.7721,0.5286,91,0.9225
statement,would,T2,vix,1,0.1905,0.7747,91,0.5725
statement,would,T2,vix,2,0.3624,0.7637,91,0.7606
statement,would,T2,vix,3,0.7117,0.8773,91,0.8896
