event,event_date,layer,series,pre3,at,post3
QE3 ends,2014-10-29,statement,ALL,18.884,12.48,13.65
QE3 ends,2014-10-29,statement,could,0.417,0.0,0.0
QE3 ends,2014-10-29,statement,should,2.519,1.56,1.783
QE3 ends,2014-10-29,statement,will,14.689,9.36,8.899
QE3 ends,2014-10-29,statement,would,0.0,0.0,0.0
First hike (liftoff),2015-12-16,statement,ALL,16.424,17.575,17.188
First hike (liftoff),2015-12-16,statement,could,0.0,0.0,0.0
First hike (liftoff),2015-12-16,statement,should,1.897,1.757,1.91
First hike (liftoff),2015-12-16,statement,will,12.012,15.817,15.278
First hike (liftoff),2015-12-16,statement,would,0.0,0.0,0.0
Normalization addendum,2017-06-14,statement,ALL,20.901,17.751,18.909
Normalization addendum,2017-06-14,statement,could,0.0,0.0,0.0
Normalization addendum,2017-06-14,statement,should,2.09,0.0,0.0
Normalization addendum,2017-06-14,statement,will,18.811,15.779,18.909
Normalization addendum,2017-06-14,statement,would,0.0,1.972,0.0
Balance-sheet runoff,2017-10-01,statement,ALL,18.653,18.519,19.306
Balance-sheet runoff,2017-10-01,statement,could,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,statement,should,0.0,0.0,0.0
Balance-sheet runoff,2017-10-01,statement,will,17.996,18.519,19.306
Balance-sheet runoff,2017-10-01,statement,would,0.657,0.0,0.0
Powell chair,2018-02-05,statement,ALL,19.144,19.002,13.839
Powell chair,2018-02-05,statement,could,0.0,0.0,0.0
Powell chair,2018-02-05,statement,should,0.0,0.0,0.0
Powell chair,2018-02-05,statement,will,19.144,19.002,13.839
Powell chair,2018-02-05,statement,would,0.0,0.0,0.0
Mid-cycle cut,2019-07-31,statement,ALL,13.408,14.493,11.219
Mid-cycle cut,2019-07-31,statement,could,0.0,0.0,0.0
Mid-cycle cut,2019-07-31,statement,should,0.0,0.0,0.0
Mid-cycle cut,2019-07-31,statement,will,11.167,14.493,11.219
Mid-cycle cut,2019-07-31,statement,would,0.0,0.0,0.0
Pandemic ZLB,2020-03-15,statement,ALL,10.791,16.181,17.533
Pandemic ZLB,2020-03-15,statement,could,0.0,0.0,0.0
Pandemic ZLB,2020-03-15,statement,should,0.0,0.0,0.0
Pandemic ZLB,2020-03-15,statement,will,10.791,14.563,16.456
Pandemic ZLB,2020-03-15,statement,would,0.0,0.0,0.0
New framework,2020-08-27,statement,ALL,21.081,21.226,19.747
New framework,2020-08-27,statement,could,0.0,2.358,2.277
New framework,2020-08-27,statement,should,0.0,0.0,0.0
New framework,2020-08-27,statement,will,21.081,16.509,15.193
New framework,2020-08-27,statement,would,0.0,2.358,2.277
Hiking cycle begins,2022-03-16,statement,ALL,17.147,18.051,19.03
Hiking cycle begins,2022-03-16,statement,could,2.108,3.61,3.336
Hiking cycle begins,2022-03-16,statement,should,0.0,0.0,0.0
Hiking cycle begins,2022-03-16,statement,will,12.931,10.83,12.358
Hiking cycle begins,2022-03-16,statement,would,2.108,3.61,3.336
Last hike,2023-07-26,statement,ALL,24.017,25.974,25.196
Last hike,2023-07-26,statement,could,3.134,3.247,3.149
Last hike,2023-07-26,statement,should,0.0,0.0,0.0
Last hike,2023-07-26,statement,will,14.614,16.234,15.747
Last hike,2023-07-26,statement,would,3.134,3.247,3.149
Cutting cycle begins,2024-09-18,statement,ALL,23.611,19.934,21.043
Cutting cycle begins,2024-09-18,statement,could,2.996,3.322,3.507
Cutting cycle begins,2024-09-18,statement,should,0.0,0.0,0.0
Cutting cycle begins,2024-09-18,statement,will,17.619,13.289,14.029
Cutting cycle begins,2024-09-18,statement,would,2.996,3.322,3.507
Framework review 2025,2025-08-22,statement,ALL,22.244,21.583,19.14
Framework review 2025,2025-08-22,statement,could,3.707,3.597,3.615
Framework review 2025,2025-08-22,statement,should,0.0,0.0,0.0
Framework review 2025,2025-08-22,statement,will,14.829,14.388,11.91
Framework review 2025,2025-08-22,statement,would,3.707,3.597,3.615
