layer,will,would,could,can,should,may
min_committee,-17.73,24.13,3.19,-10.9,5.45,-1.68
pc_chair,0.76,-3.9,-1.07,5.85,-1.41,0.81
statement,16.94,-12.39,0.43,-9.62,-0.83,-1.15
