event,event_date,layer,series,pre3,at,post3
QE3 ends,2014-10-29,min_participants,ALL,8.599,13.721,17.305
QE3 ends,2014-10-29,min_participants,could,2.11,3.293,5.497
QE3 ends,2014-10-29,min_participants,may,0.162,1.098,0.658
QE3 ends,2014-10-29,min_participants,should,1.024,1.098,0.874
QE3 ends,2014-10-29,min_participants,would,4.892,7.684,9.106
First hike (liftoff),2015-12-16,min_participants,ALL,10.087,14.956,9.522
First hike (liftoff),2015-12-16,min_participants,could,1.9,3.739,2.834
First hike (liftoff),2015-12-16,min_participants,may,0.793,0.831,0.463
First hike (liftoff),2015-12-16,min_participants,should,1.097,1.246,0.463
First hike (liftoff),2015-12-16,min_participants,would,6.138,9.14,5.635
Normalization addendum,2017-06-14,min_participants,ALL,9.813,14.33,12.575
Normalization addendum,2017-06-14,min_participants,could,2.892,3.486,3.657
Normalization addendum,2017-06-14,min_participants,may,0.439,0.387,0.807
Normalization addendum,2017-06-14,min_participants,should,0.659,0.775,0.819
Normalization addendum,2017-06-14,min_participants,would,5.697,9.295,7.171
Balance-sheet runoff,2017-10-01,min_participants,ALL,13.081,12.815,12.482
Balance-sheet runoff,2017-10-01,min_participants,could,3.346,4.419,2.836
Balance-sheet runoff,2017-10-01,min_participants,may,0.641,0.884,1.293
Balance-sheet runoff,2017-10-01,min_participants,should,0.635,1.326,0.592
Balance-sheet runoff,2017-10-01,min_participants,would,8.207,6.186,7.47
Powell chair,2018-02-05,min_participants,ALL,12.96,11.379,12.184
Powell chair,2018-02-05,min_participants,could,3.702,1.821,3.269
Powell chair,2018-02-05,min_participants,may,1.588,0.0,0.891
Powell chair,2018-02-05,min_participants,should,1.034,0.0,0.592
Powell chair,2018-02-05,min_participants,would,6.497,9.103,7.279
Mid-cycle cut,2019-07-31,min_participants,ALL,10.932,8.391,12.354
Mid-cycle cut,2019-07-31,min_participants,could,4.905,2.554,4.614
Mid-cycle cut,2019-07-31,min_participants,may,0.0,0.0,0.724
Mid-cycle cut,2019-07-31,min_participants,should,0.299,1.094,1.003
Mid-cycle cut,2019-07-31,min_participants,would,5.568,4.743,6.013
Pandemic ZLB,2020-03-15,min_participants,ALL,13.594,16.113,17.973
Pandemic ZLB,2020-03-15,min_participants,could,5.174,2.96,5.054
Pandemic ZLB,2020-03-15,min_participants,may,0.724,0.329,1.13
Pandemic ZLB,2020-03-15,min_participants,should,0.776,0.658,0.938
Pandemic ZLB,2020-03-15,min_participants,would,6.921,12.167,10.702
New framework,2020-08-27,min_participants,ALL,17.973,17.505,10.878
New framework,2020-08-27,min_participants,could,5.054,6.704,4.735
New framework,2020-08-27,min_participants,may,1.13,0.0,0.0
New framework,2020-08-27,min_participants,should,0.938,0.0,0.0
New framework,2020-08-27,min_participants,would,10.702,10.801,6.144
Hiking cycle begins,2022-03-16,min_participants,ALL,12.744,10.33,12.831
Hiking cycle begins,2022-03-16,min_participants,could,4.049,2.951,2.675
Hiking cycle begins,2022-03-16,min_participants,may,0.752,0.0,0.57
Hiking cycle begins,2022-03-16,min_participants,should,1.199,0.0,0.415
Hiking cycle begins,2022-03-16,min_participants,would,6.595,6.886,9.067
Last hike,2023-07-26,min_participants,ALL,13.117,13.048,13.104
Last hike,2023-07-26,min_participants,could,3.002,5.741,3.955
Last hike,2023-07-26,min_participants,may,1.627,1.044,1.33
Last hike,2023-07-26,min_participants,should,0.528,0.522,0.295
Last hike,2023-07-26,min_participants,would,7.826,5.741,7.375
Cutting cycle begins,2024-09-18,min_participants,ALL,12.445,10.942,9.751
Cutting cycle begins,2024-09-18,min_participants,could,4.946,3.806,4.366
Cutting cycle begins,2024-09-18,min_participants,may,1.528,0.0,0.5
Cutting cycle begins,2024-09-18,min_participants,should,1.288,0.476,0.0
Cutting cycle begins,2024-09-18,min_participants,would,4.529,6.66,4.885
Framework review 2025,2025-08-22,min_participants,ALL,13.751,12.564,13.826
Framework review 2025,2025-08-22,min_participants,could,6.064,2.856,5.625
Framework review 2025,2025-08-22,min_participants,may,1.267,2.284,0.874
Framework review 2025,2025-08-22,min_participants,should,0.0,0.0,0.609
Framework review 2025,2025-08-22,min_participants,would,6.256,7.424,6.717
