key,unit,period,macro,lag,p_text_to_macro,p_macro_to_text,n,q_text_to_macro
minutes,ALL,T1,cfnai,1,0.2882,0.5849,99,0.8837
minutes,ALL,T1,cfnai,2,0.0096,0.6755,99,0.1656
minutes,ALL,T1,cfnai,3,0.0223,0.7022,99,0.1708
minutes,ALL,T1,vix,1,0.0138,0.3057,99,0.2113
minutes,ALL,T1,vix,2,0.0473,0.1382,99,0.2434
minutes,ALL,T1,vix,3,0.0172,0.1973,99,0.1648
minutes,ALL,T2,cfnai,1,0.0994,0.8218,91,0.6633
minutes,ALL,T2,cfnai,2,0.1583,0.924,91,0.7589
minutes,ALL,T2,cfnai,3,0.1352,0.4274,91,0.9591
minutes,ALL,T2,vix,1,0.2686,0.2225,91,0.6633
minutes,ALL,T2,vix,2,0.2634,0.0991,91,0.8196
minutes,ALL,T2,vix,3,0.3051,0.1056,91,0.9591
minutes,could,T1,cfnai,1,0.3466,0.3508,99,0.8837
minutes,could,T1,cfnai,2,0.8271,0.3172,99,0.9403
minutes,could,T1,cfnai,3,0.0118,0.388,99,0.1648
minutes,could,T1,vix,1,0.5233,0.9835,99,0.8902
minutes,could,T1,vix,2,0.0385,0.3383,99,0.2434
minutes,could,T1,vix,3,0.0555,0.4295,99,0.3194
minutes,could,T2,cfnai,1,0.3792,0.0745,91,0.6633
minutes,could,T2,cfnai,2,0.1752,0.1432,91,0.7589
minutes,could,T2,cfnai,3,0.2013,0.0932,91,0.9591
minutes,could,T2,vix,1,0.1256,0.0437,91,0.6633
minutes,could,T2,vix,2,0.1863,0.0061,91,0.7589
minutes,could,T2,vix,3,0.5091,0.0123,91,0.9591
minutes,should,T1,cfnai,1,0.7704,0.6369,99,0.9579
minutes,should,T1,cfnai,2,0.8113,0.783,99,0.9403
minutes,should,T1,cfnai,3,0.9609,0.9138,99,0.9932
minutes,should,T1,vix,1,0.3635,0.4146,99,0.8837
minutes,should,T1,vix,2,0.6743,0.7406,99,0.8862
