layer,unit,n_tokens,zero_share,spec,var,label,coef,se,p,stars,n,r2,adj_r2
statement,will/activity,132,0.01,(3),const,const,3.12221,0.63796,0.0,***,101,0.05751,0.03827
statement,will/activity,132,0.01,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.32122,0.08321,0.00011,***,101,0.05751,0.03827
statement,will/activity,132,0.01,(3),vix_pre28,VIX,0.01614,0.02774,0.5607,,101,0.05751,0.03827
statement,will/activity,132,0.01,(6) excl-2020,const,const,2.0312,0.57341,0.0004,***,91,0.18145,0.16284
statement,will/activity,132,0.01,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-2.26217,0.6966,0.00116,***,91,0.18145,0.16284
statement,will/activity,132,0.01,(6) excl-2020,vix_pre28,VIX,0.07601,0.03127,0.01506,**,91,0.18145,0.16284
statement,will/activity,132,0.01,(7) Δ,const,const,0.02991,0.07587,0.6934,,100,0.04964,0.03005
statement,will/activity,132,0.01,(7) Δ,d_cfnai,ΔCFNAI,-0.11733,0.08386,0.1618,,100,0.04964,0.03005
statement,will/activity,132,0.01,(7) Δ,d_vix,ΔVIX,-0.05174,0.05802,0.37245,,100,0.04964,0.03005
statement,will/activity,132,0.01,(8) Δ excl-2020,const,const,0.04375,0.06828,0.52171,,90,0.01101,-0.01172
statement,will/activity,132,0.01,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-0.11883,0.26944,0.65921,,90,0.01101,-0.01172
statement,will/activity,132,0.01,(8) Δ excl-2020,d_vix,ΔVIX,0.01914,0.01976,0.33273,,90,0.01101,-0.01172
statement,will/aspectual,126,0.327,(3),const,const,0.73053,1.30209,0.57477,,101,0.11166,0.09353
statement,will/aspectual,126,0.327,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.06367,0.08722,0.46536,,101,0.11166,0.09353
statement,will/aspectual,126,0.327,(3),vix_pre28,VIX,0.14659,0.05263,0.00534,***,101,0.11166,0.09353
statement,will/aspectual,126,0.327,(6) excl-2020,const,const,-0.86442,1.34988,0.52193,,91,0.14285,0.12337
statement,will/aspectual,126,0.327,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-2.02806,1.9591,0.30058,,91,0.14285,0.12337
