layer,will,would,could,can,should,may
min_committee,-9.0,14.93,-8.44,-7.38,3.52,-5.15
min_participants,-19.0,9.95,11.99,-12.56,-1.42,-4.14
min_special,-6.42,0.27,9.06,-4.03,1.51,-4.32
min_staff,-7.28,6.13,1.65,-5.48,-4.85,2.19
min_staff_desk,-5.35,4.37,1.9,-5.05,-1.14,-0.42
speech_chair,30.93,-21.86,-12.46,22.02,1.11,8.07
