variable,outcome_vs_will,coef,rrr,p
const,would,2.395,10.968,2.827972492590112e-29
const,could,0.03,1.03,0.9115488741817791
const,can,-5.108,0.006,4.790375458504405e-08
const,should,0.826,2.284,0.0012870376949176416
const,may,-2.464,0.085,4.8372391696764566e-05
period_late,would,-0.218,0.804,2.822367657463189e-06
period_late,could,-0.12,0.887,0.054094632907090046
period_late,can,0.137,1.147,0.0464034102219515
period_late,should,-0.449,0.638,1.2141989187099518e-08
period_late,may,-0.193,0.824,0.017894441850892034
subj_type_econ,would,0.273,1.315,0.07679511374520405
subj_type_econ,could,0.806,2.24,3.516920371962808e-05
subj_type_econ,can,2.078,7.992,0.004241840324432552
subj_type_econ,should,-0.244,0.784,0.20093425394984965
subj_type_econ,may,2.736,15.423,1.185938361969859e-06
subj_type_fed,would,-0.405,0.667,0.2925754995020968
subj_type_fed,could,0.038,1.039,0.9362239209476173
subj_type_fed,can,3.449,31.461,9.427597439202636e-06
subj_type_fed,should,0.208,1.231,0.6225049752314885
subj_type_fed,may,0.602,1.826,0.6134749337954768
subj_type_it_there_rel,would,1.137,3.118,8.298167820559656e-14
subj_type_it_there_rel,could,1.824,6.198,2.2139595231389356e-21
subj_type_it_there_rel,can,2.236,9.359,0.0020179969439461137
subj_type_it_there_rel,should,-0.181,0.834,0.3559047890601287
subj_type_it_there_rel,may,3.244,25.639,8.189874193103612e-09
subj_type_none,would,1.406,4.081,4.147343114369021e-07
subj_type_none,could,1.582,4.866,9.650763246773986e-06
subj_type_none,can,5.289,198.177,1.2754177355905482e-12
subj_type_none,should,0.924,2.519,0.01169516276056652
subj_type_none,may,3.077,21.697,7.160431761514945e-06
subj_type_other,would,0.655,1.925,2.1013666791028344e-05
subj_type_other,could,1.303,3.68,1.4938816210901543e-11
subj_type_other,can,2.407,11.098,0.0009063363342152041
subj_type_other,should,0.294,1.342,0.11697785864759026
subj_type_other,may,2.988,19.843,1.1156269445568334e-07
subj_type_person,would,1.177,3.246,1.4885414609805951e-12
subj_type_person,could,1.289,3.628,3.794313692851125e-09
subj_type_person,can,3.981,53.586,3.8780713392662484e-08
subj_type_person,should,0.325,1.384,0.131711955942309
subj_type_person,may,2.61,13.603,6.992857899441297e-06
subj_type_risks,would,3.12,22.643,0.19632514671538137
subj_type_risks,could,4.277,71.996,0.07773378280339663
subj_type_risks,can,5.527,251.444,0.03713693350537491
subj_type_risks,should,3.832,46.169,0.11455400357416336
subj_type_risks,may,6.63,757.241,0.007702783166816869
subj_type_we_I,would,1.501,4.488,7.248115495860613e-23
subj_type_we_I,could,0.14,1.15,0.5208665821361667
subj_type_we_I,can,2.816,16.713,9.633030249977778e-05
subj_type_we_I,should,-0.706,0.494,0.000573942109179275
subj_type_we_I,may,1.296,3.653,0.024694209518810014
layer_min_participants,would,1.05,2.857,3.0667052090916686e-05
layer_min_participants,could,2.542,12.711,2.1848273849078906e-20
layer_min_participants,can,1.433,4.192,0.04845245480035524
layer_min_participants,should,0.855,2.352,0.0025210624711481653
layer_min_participants,may,1.71,5.527,6.971907590085429e-08
layer_min_special,would,-0.999,0.368,1.345765251611067e-05
layer_min_special,could,0.775,2.171,0.0024333714227230186
layer_min_special,can,1.839,6.288,0.005514860343778094
layer_min_special,should,-0.685,0.504,0.014029960711647166
layer_min_special,may,-0.542,0.582,0.113711267892261
layer_min_staff,would,0.193,1.212,0.5342346562564835
layer_min_staff,could,1.109,3.031,0.0009695961799531319
layer_min_staff,can,0.765,2.149,0.4297237417085017
layer_min_staff,should,-1.865,0.155,0.0007075402631807592
layer_min_staff,may,1.107,3.025,0.0034194562795808133
layer_min_staff_desk,would,-0.743,0.476,0.0027377750550498167
layer_min_staff_desk,could,0.368,1.444,0.18760062565210966
layer_min_staff_desk,can,0.693,1.999,0.3713941206924428
layer_min_staff_desk,should,-1.041,0.353,0.0013964373125324736
layer_min_staff_desk,may,0.173,1.189,0.6095804882860405
layer_pc_chair,would,-3.856,0.021,1.1524088849325338e-103
layer_pc_chair,could,-3.117,0.044,5.4625841720829575e-49
layer_pc_chair,can,1.137,3.118,0.06223548230225351
layer_pc_chair,should,-2.551,0.078,9.45866455181364e-33
layer_pc_chair,may,-2.116,0.121,2.280033968599066e-16
layer_statement,would,-5.313,0.005,1.8512944611197566e-118
layer_statement,could,-3.483,0.031,6.014330492308484e-42
layer_statement,can,-1.745,0.175,0.02793179167309702
layer_statement,should,-3.563,0.028,3.0057532254227124e-38
layer_statement,may,-2.847,0.058,5.943482017306491e-19
cond,would,0.565,1.76,1.076748256434388e-23
cond,could,1.074,2.926,4.0679420292645596e-53
cond,can,0.287,1.332,0.000254784779981002
cond,should,0.147,1.158,0.15647584787518798
cond,may,0.291,1.338,0.00380647769086319
reported,would,-0.028,0.972,0.6118191581508824
reported,could,-0.738,0.478,7.739761605675295e-24
reported,can,-0.192,0.825,0.017013358662793972
reported,should,0.177,1.194,0.048542216943596915
reported,may,-0.532,0.587,3.703830704957348e-08
