layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
statement,will,modal,607,41906,4508,1182535,14484.8,3812.1,684.53,0.0,1.927,280.0,+,0.0
statement,would,modal,49,41906,6361,1182535,1169.3,5379.1,198.51,0.0,-2.187,-78.3,-,0.0
statement,could,modal,50,41906,2137,1182535,1193.1,1807.1,9.64,0.0019,-0.585,-34.0,-,0.0028
statement,can,modal,4,41906,1649,1182535,95.5,1394.5,85.67,0.0,-3.699,-93.2,-,0.0
statement,should,modal,33,41906,821,1182535,787.5,694.3,0.48,0.4864,0.203,13.4,+,0.5837
statement,may,modal,27,41906,799,1182535,644.3,675.7,0.06,0.8066,-0.043,-4.6,-,0.8066
min_staff_desk,will,modal,35,71942,5080,1152499,486.5,4407.8,394.93,0.0,-3.159,-89.0,-,0.0
min_staff_desk,would,modal,307,71942,6103,1152499,4267.3,5295.4,14.55,0.0001,-0.309,-19.4,-,0.0003
min_staff_desk,could,modal,138,71942,2049,1152499,1918.2,1777.9,0.73,0.3929,0.114,7.9,+,0.3929
min_staff_desk,can,modal,5,71942,1648,1152499,69.5,1429.9,159.93,0.0,-4.226,-95.1,-,0.0
min_staff_desk,should,modal,27,71942,827,1152499,375.3,717.6,13.55,0.0002,-0.909,-47.7,-,0.0003
min_staff_desk,may,modal,41,71942,785,1152499,569.9,681.1,1.31,0.2529,-0.241,-16.3,-,0.3035
min_staff,will,modal,16,249885,5099,974556,64.0,5232.1,2162.12,0.0,-6.308,-98.8,-,0.0
min_staff,would,modal,327,249885,6083,974556,1308.6,6241.8,1233.24,0.0,-2.252,-79.0,-,0.0
min_staff,could,modal,132,249885,2055,974556,528.2,2108.7,360.65,0.0,-1.992,-74.9,-,0.0
min_staff,can,modal,2,249885,1651,974556,8.0,1694.1,729.2,0.0,-7.404,-99.5,-,0.0
min_staff,should,modal,5,249885,849,974556,20.0,871.2,342.1,0.0,-5.308,-97.7,-,0.0
min_staff,may,modal,57,249885,769,974556,228.1,789.1,117.48,0.0,-1.779,-71.1,-,0.0
min_participants,will,modal,30,223992,5085,1000449,133.9,5082.7,1788.47,0.0,-5.222,-97.4,-,0.0
min_participants,would,modal,1537,223992,4873,1000449,6861.9,4870.8,129.01,0.0,0.495,40.9,+,0.0
min_participants,could,modal,875,223992,1312,1000449,3906.4,1311.4,558.83,0.0,1.575,197.9,+,0.0
min_participants,can,modal,8,223992,1645,1000449,35.7,1644.3,590.62,0.0,-5.438,-97.8,-,0.0
min_participants,should,modal,149,223992,705,1000449,665.2,704.7,0.41,0.5199,-0.079,-5.6,-,0.5975
min_participants,may,modal,157,223992,669,1000449,700.9,668.7,0.28,0.5975,0.071,4.8,+,0.5975
min_committee,will,modal,37,62833,5078,1161608,588.9,4371.5,316.29,0.0,-2.873,-86.5,-,0.0
min_committee,would,modal,719,62833,5691,1161608,11443.0,4899.2,369.96,0.0,1.225,133.6,+,0.0
min_committee,could,modal,83,62833,2104,1161608,1321.0,1811.3,8.78,0.003,-0.447,-27.1,-,0.0036
min_committee,can,modal,3,62833,1650,1161608,47.7,1420.4,147.79,0.0,-4.673,-96.6,-,0.0
min_committee,should,modal,85,62833,769,1161608,1352.8,662.0,32.4,0.0,1.039,104.3,+,0.0
min_committee,may,modal,31,62833,795,1161608,493.4,684.4,3.54,0.0598,-0.45,-27.9,-,0.0598
min_special,will,modal,49,40777,5066,1183664,1201.7,4279.9,123.53,0.0,-1.818,-71.9,-,0.0
min_special,would,modal,344,40777,6066,1183664,8436.1,5124.8,69.99,0.0,0.721,64.6,+,0.0
min_special,could,modal,283,40777,1904,1183664,6940.2,1608.6,369.51,0.0,2.111,331.5,+,0.0
min_special,can,modal,21,40777,1632,1183664,515.0,1378.8,28.34,0.0,-1.387,-62.6,-,0.0
min_special,should,modal,58,40777,796,1183664,1422.4,672.5,24.62,0.0,1.092,111.5,+,0.0
min_special,may,modal,28,40777,798,1183664,686.7,674.2,0.01,0.9242,0.051,1.9,+,0.9242
pc_chair,will,modal,4341,533106,774,691335,8142.8,1119.6,3756.45,0.0,2.862,627.3,+,0.0
pc_chair,would,modal,3127,533106,3283,691335,5865.6,4748.8,71.2,0.0,0.305,23.5,+,0.0
pc_chair,could,modal,626,533106,1561,691335,1174.3,2258.0,206.72,0.0,-0.943,-48.0,-,0.0
pc_chair,can,modal,1610,533106,43,691335,3020.0,62.2,2327.95,0.0,5.585,4755.5,+,0.0
pc_chair,should,modal,497,533106,357,691335,932.3,516.4,73.82,0.0,0.852,80.5,+,0.0
pc_chair,may,modal,485,533106,341,691335,909.8,493.2,76.57,0.0,0.883,84.4,+,0.0
