layer,will,would,could,can,should,may
min_committee,-14.77,18.9,-3.6,-9.33,5.34,-2.26
min_participants,-27.72,15.55,27.73,-15.86,0.93,2.03
min_special,-12.13,2.89,18.21,-6.3,3.0,-1.61
min_staff,-11.46,8.73,7.56,-6.95,-4.23,6.04
min_staff_desk,-10.17,6.87,7.96,-6.64,-0.13,2.74
pc_chair,20.03,-14.06,-20.12,17.82,-1.66,-1.44
statement,24.73,-14.14,-4.91,-8.18,-0.9,-1.69
