t,S
0,1.0
1,0.6419753086419753
2,0.5679012345679012
3,0.48148148148148145
4,0.41975308641975306
5,0.35802469135802467
6,0.25925925925925924
7,0.24691358024691357
8,0.2222222222222222
10,0.20987654320987653
12,0.19753086419753085
14,0.18518518518518517
15,0.1728395061728395
19,0.16049382716049382
20,0.09362139917695471
21,0.0802469135802469
48,0.060185185185185175
49,0.040123456790123455
