layer,modal,unit,n,share,rank,modal_n
min_committee,would,would+add,12,0.0167,14,719
min_committee,would,would+strengthen,12,0.0167,15,719
min_participants,can,can+be+patient,1,0.125,1,8
min_participants,can,can+communicate,1,0.125,2,8
min_participants,can,can+affect,1,0.125,3,8
min_participants,can,can+implement,1,0.125,4,8
min_participants,can,can+be+volatile,1,0.125,5,8
min_participants,can,can+help,1,0.125,6,8
min_participants,can,can+complicate,1,0.125,7,8
min_participants,can,can+use,1,0.125,8,8
min_participants,could,could+lead,57,0.0651,1,875
min_participants,could,could+result,28,0.032,2,875
min_participants,could,could+help,27,0.0309,3,875
min_participants,could,could+become,24,0.0274,4,875
min_participants,could,could+bear,23,0.0263,5,875
min_participants,could,could+have,20,0.0229,6,875
min_participants,could,could+pose,19,0.0217,7,875
min_participants,could,could+affect,19,0.0217,8,875
min_participants,could,could+prove,17,0.0194,9,875
min_participants,could,could+support,17,0.0194,10,875
min_participants,could,could+increase,17,0.0194,11,875
min_participants,could,could+rise,13,0.0149,12,875
min_participants,could,could+contribute,13,0.0149,13,875
min_participants,could,could+continue,12,0.0137,14,875
min_participants,could,could+slow,12,0.0137,15,875
min_participants,may,may+be+appropriate,11,0.0701,1,157
min_participants,may,may+contribute,7,0.0446,2,157
min_participants,may,may+warrant,6,0.0382,3,157
min_participants,may,may+need,5,0.0318,4,157
min_participants,may,may+become,5,0.0318,5,157
min_participants,may,may+reflect,5,0.0318,6,157
min_participants,may,may+reduce,4,0.0255,7,157
min_participants,may,may+be+lower,4,0.0255,8,157
min_participants,may,may+increase,3,0.0191,9,157
min_participants,may,may+be+level,3,0.0191,10,157
min_participants,may,may+be+stronger,3,0.0191,11,157
min_participants,may,may+begin,3,0.0191,12,157
min_participants,may,may+signal,3,0.0191,13,157
min_participants,may,may+stabilize,3,0.0191,14,157
min_participants,may,may+be+restrictive,2,0.0127,15,157
min_participants,should,should+continue,17,0.1141,1,149
min_participants,should,should+monitor,7,0.047,2,149
min_participants,should,should+support,5,0.0336,3,149
min_participants,should,should+take,4,0.0268,4,149
min_participants,should,should+occur,4,0.0268,5,149
min_participants,should,should+interpret,4,0.0268,6,149
min_participants,should,should+remain,4,0.0268,7,149
min_participants,should,should+maintain,3,0.0201,8,149
min_participants,should,should+discuss,3,0.0201,9,149
min_participants,should,should+be+principle,3,0.0201,10,149
min_participants,should,should+communicate,3,0.0201,11,149
min_participants,should,should+guide,3,0.0201,12,149
min_participants,should,should+assess,2,0.0134,13,149
min_participants,should,should+be+patient,2,0.0134,14,149
min_participants,should,should+emerge,2,0.0134,15,149
min_participants,will,will+depend,5,0.1667,1,30
min_participants,will,will+move,2,0.0667,2,30
min_participants,will,will+be+appropriate,2,0.0667,3,30
min_participants,will,will+drop,1,0.0333,4,30
min_participants,will,will+come,1,0.0333,5,30
min_participants,will,will+require,1,0.0333,6,30
min_participants,will,will+slow,1,0.0333,7,30
min_participants,will,will+be+restrictive,1,0.0333,8,30
min_participants,will,will+add,1,0.0333,9,30
min_participants,will,will+update,1,0.0333,10,30
min_participants,will,will+sustain,1,0.0333,11,30
min_participants,will,will+weigh,1,0.0333,12,30
min_participants,will,will+prove,1,0.0333,13,30
min_participants,will,will+rise,1,0.0333,14,30
min_participants,will,will+present,1,0.0333,15,30
min_participants,would,would+be+appropriate,143,0.093,1,1537
min_participants,would,would+continue,100,0.0651,2,1537
min_participants,would,would+depend,59,0.0384,3,1537
min_participants,would,would+remain,56,0.0364,4,1537
min_participants,would,would+help,55,0.0358,5,1537
min_participants,would,would+need,47,0.0306,6,1537
min_participants,would,would+expect,44,0.0286,7,1537
min_participants,would,would+be+important,41,0.0267,8,1537
min_participants,would,would+move,32,0.0208,9,1537
min_participants,would,would+rise,25,0.0163,10,1537
min_participants,would,would+take,25,0.0163,11,1537
min_participants,would,would+support,24,0.0156,12,1537
min_participants,would,would+expand,23,0.015,13,1537
min_participants,would,would+provide,23,0.015,14,1537
min_participants,would,would+weigh,22,0.0143,15,1537
min_special,can,can+achieve,3,0.1429,1,21
min_special,can,can+vary,2,0.0952,2,21
min_special,can,can+help,2,0.0952,3,21
min_special,can,can+affect,2,0.0952,4,21
min_special,can,can+phase,1,0.0476,5,21
min_special,can,can+arise,1,0.0476,6,21
min_special,can,can+be+effective,1,0.0476,7,21
min_special,can,can+associate,1,0.0476,8,21
min_special,can,can+obtain,1,0.0476,9,21
min_special,can,can+have,1,0.0476,10,21
min_special,can,can+target,1,0.0476,11,21
min_special,can,can+improve,1,0.0476,12,21
min_special,can,can+control,1,0.0476,13,21
min_special,can,can+promote,1,0.0476,14,21
min_special,can,can+be+difficult,1,0.0476,15,21
min_special,could,could+help,20,0.0707,1,283
min_special,could,could+provide,15,0.053,2,283
min_special,could,could+use,11,0.0389,3,283
min_special,could,could+reduce,8,0.0283,4,283
min_special,could,could+spill,6,0.0212,5,283
min_special,could,could+become,6,0.0212,6,283
min_special,could,could+have,6,0.0212,7,283
min_special,could,could+be+appropriate,6,0.0212,8,283
min_special,could,could+affect,6,0.0212,9,283
min_special,could,could+lead,5,0.0177,10,283
min_special,could,could+view,5,0.0177,11,283
min_special,could,could+result,5,0.0177,12,283
min_special,could,could+make,5,0.0177,13,283
min_special,could,could+arise,4,0.0141,14,283
min_special,could,could+serve,4,0.0141,15,283
min_special,may,may+be+appropriate,4,0.1429,1,28
min_special,may,may+be+settlement,2,0.0714,2,28
min_special,may,may+be+limit,2,0.0714,3,28
min_special,may,may+require,2,0.0714,4,28
min_special,may,may+provide,2,0.0714,5,28
min_special,may,may+raise,2,0.0714,6,28
min_special,may,may+contribute,2,0.0714,7,28
min_special,may,may+be+circumstance,1,0.0357,8,28
min_special,may,may+be+simpler,1,0.0357,9,28
min_special,may,may+move,1,0.0357,10,28
min_special,may,may+amplify,1,0.0357,11,28
min_special,may,may+take,1,0.0357,12,28
min_special,may,may+reduce,1,0.0357,13,28
min_special,may,may+play,1,0.0357,14,28
min_special,may,may+result,1,0.0357,15,28
min_special,should,should+be+mean,3,0.0517,1,58
min_special,should,should+help,2,0.0345,2,58
min_special,should,should+reduce,2,0.0345,3,58
min_special,should,should+be+what,2,0.0345,4,58
min_special,should,should+continue,2,0.0345,5,58
min_special,should,should+provide,1,0.0172,6,58
min_special,should,should+include,1,0.0172,7,58
min_special,should,should+rule,1,0.0172,8,58
min_special,should,should+guide,1,0.0172,9,58
min_special,should,should+respond,1,0.0172,10,58
min_special,should,should+complete,1,0.0172,11,58
min_special,should,should+update,1,0.0172,12,58
min_special,should,should+imply,1,0.0172,13,58
min_special,should,should+implement,1,0.0172,14,58
min_special,should,should+become,1,0.0172,15,58
min_special,will,will+hold,6,0.1224,1,49
min_special,will,will+depend,5,0.102,2,49
min_special,will,will+continue,3,0.0612,3,49
min_special,will,will+begin,2,0.0408,4,49
min_special,will,will+remain,2,0.0408,5,49
min_special,will,will+increase,2,0.0408,6,49
min_special,will,will+reinveste,2,0.0408,7,49
min_special,will,will+inform,2,0.0408,8,49
min_special,will,will+be+billion,2,0.0408,9,49
min_special,will,will+determine,2,0.0408,10,49
min_special,will,will+phase,1,0.0204,11,49
min_special,will,will+invest,1,0.0204,12,49
min_special,will,will+shrink,1,0.0204,13,49
min_special,will,will+translate,1,0.0204,14,49
min_special,will,will+be+appropriate,1,0.0204,15,49
min_special,would,would+be+appropriate,23,0.0669,1,344
min_special,would,would+need,17,0.0494,2,344
min_special,would,would+continue,14,0.0407,3,344
min_special,would,would+have,12,0.0349,4,344
min_special,would,would+help,11,0.032,5,344
min_special,would,would+provide,10,0.0291,6,344
min_special,would,would+require,10,0.0291,7,344
min_special,would,would+be+important,10,0.0291,8,344
min_special,would,would+be+useful,7,0.0203,9,344
min_special,would,would+be+consistent,7,0.0203,10,344
min_special,would,would+hold,6,0.0174,11,344
min_special,would,would+allow,6,0.0174,12,344
min_special,would,would+remain,6,0.0174,13,344
min_special,would,would+take,5,0.0145,14,344
min_special,would,would+communicate,5,0.0145,15,344
min_staff,can,can+be+patient,1,0.5,1,2
min_staff,can,can+exhibit,1,0.5,2,2
min_staff,could,could+increase,21,0.1591,1,132
min_staff,could,could+prove,11,0.0833,2,132
min_staff,could,could+appreciate,9,0.0682,3,132
min_staff,could,could+move,7,0.053,4,132
min_staff,could,could+expand,7,0.053,5,132
min_staff,could,could+have,6,0.0455,6,132
min_staff,could,could+amplify,5,0.0379,7,132
min_staff,could,could+put,4,0.0303,8,132
min_staff,could,could+become,3,0.0227,9,132
min_staff,could,could+continue,3,0.0227,10,132
min_staff,could,could+rise,3,0.0227,11,132
min_staff,could,could+result,3,0.0227,12,132
min_staff,could,could+lead,3,0.0227,13,132
min_staff,could,could+yield,3,0.0227,14,132
min_staff,could,could+materialize,3,0.0227,15,132
min_staff,may,may+edge,18,0.3158,1,57
min_staff,may,may+be+lower,9,0.1579,2,57
min_staff,may,may+contribute,4,0.0702,3,57
min_staff,may,may+increase,4,0.0702,4,57
min_staff,may,may+reflect,3,0.0526,5,57
min_staff,may,may+be+vulnerable,2,0.0351,6,57
min_staff,may,may+opening,1,0.0175,7,57
min_staff,may,may+grow,1,0.0175,8,57
min_staff,may,may+overstate,1,0.0175,9,57
min_staff,may,may+need,1,0.0175,10,57
min_staff,may,may+produce,1,0.0175,11,57
min_staff,may,may+amplify,1,0.0175,12,57
min_staff,may,may+lead,1,0.0175,13,57
min_staff,may,may+push,1,0.0175,14,57
min_staff,may,may+be+premature,1,0.0175,15,57
min_staff,should,should+view,1,0.2,1,5
min_staff,should,should+continue,1,0.2,2,5
min_staff,should,should+adverse,1,0.2,3,5
min_staff,should,should+decline,1,0.2,4,5
min_staff,should,should+materialize,1,0.2,5,5
min_staff,will,will+incorporate,3,0.1875,1,16
min_staff,will,will+continue,2,0.125,2,16
min_staff,will,will+require,1,0.0625,3,16
min_staff,will,will+purchase,1,0.0625,4,16
min_staff,will,will+announce,1,0.0625,5,16
min_staff,will,will+attenuate,1,0.0625,6,16
min_staff,will,will+explore,1,0.0625,7,16
min_staff,will,will+depend,1,0.0625,8,16
min_staff,will,will+remove,1,0.0625,9,16
min_staff,will,will+lower,1,0.0625,10,16
min_staff,will,will+boost,1,0.0625,11,16
min_staff,will,will+tend,1,0.0625,12,16
min_staff,will,will+entail,1,0.0625,13,16
min_staff,would,would+expand,31,0.0948,1,327
min_staff,would,would+increase,27,0.0826,2,327
min_staff,would,would+remain,18,0.055,3,327
min_staff,would,would+move,13,0.0398,4,327
min_staff,would,would+continue,10,0.0306,5,327
min_staff,would,would+rise,9,0.0275,6,327
min_staff,would,would+manifest,8,0.0245,7,327
min_staff,would,would+prove,7,0.0214,8,327
min_staff,would,would+decline,7,0.0214,9,327
min_staff,would,would+slow,6,0.0183,10,327
min_staff,would,would+enact,6,0.0183,11,327
min_staff,would,would+run,6,0.0183,12,327
min_staff,would,would+be+objective,6,0.0183,13,327
min_staff,would,would+take,6,0.0183,14,327
min_staff,would,would+weaken,5,0.0153,15,327
min_staff_desk,can,can+implement,1,0.2,1,5
min_staff_desk,can,can+earn,1,0.2,2,5
min_staff_desk,can,can+alleviate,1,0.2,3,5
min_staff_desk,can,can+increase,1,0.2,4,5
min_staff_desk,can,can+support,1,0.2,5,5
min_staff_desk,could,could+affect,7,0.0507,1,138
min_staff_desk,could,could+consider,6,0.0435,2,138
min_staff_desk,could,could+increase,5,0.0362,3,138
min_staff_desk,could,could+result,5,0.0362,4,138
min_staff_desk,could,could+continue,4,0.029,5,138
min_staff_desk,could,could+become,4,0.029,6,138
min_staff_desk,could,could+provide,4,0.029,7,138
min_staff_desk,could,could+help,3,0.0217,8,138
min_staff_desk,could,could+remain,3,0.0217,9,138
min_staff_desk,could,could+take,3,0.0217,10,138
min_staff_desk,could,could+use,3,0.0217,11,138
min_staff_desk,could,could+have,3,0.0217,12,138
min_staff_desk,could,could+play,3,0.0217,13,138
min_staff_desk,could,could+arise,3,0.0217,14,138
min_staff_desk,could,could+lead,2,0.0145,15,138
min_staff_desk,may,may+contribute,7,0.1707,1,41
min_staff_desk,may,may+vary,4,0.0976,2,41
min_staff_desk,may,may+help,3,0.0732,3,41
min_staff_desk,may,may+prove,2,0.0488,4,41
min_staff_desk,may,may+be+settlement,2,0.0488,5,41
min_staff_desk,may,may+become,2,0.0488,6,41
min_staff_desk,may,may+extend,2,0.0488,7,41
min_staff_desk,may,may+be+appropriate,2,0.0488,8,41
min_staff_desk,may,may+facilitate,1,0.0244,9,41
min_staff_desk,may,may+be+useful,1,0.0244,10,41
min_staff_desk,may,may+economize,1,0.0244,11,41
min_staff_desk,may,may+lead,1,0.0244,12,41
min_staff_desk,may,may+cloud,1,0.0244,13,41
min_staff_desk,may,may+consider,1,0.0244,14,41
min_staff_desk,may,may+conduct,1,0.0244,15,41
min_staff_desk,should,should+continue,2,0.0741,1,27
min_staff_desk,should,should+occur,2,0.0741,2,27
min_staff_desk,should,should+decide,2,0.0741,3,27
min_staff_desk,should,should+reduce,2,0.0741,4,27
min_staff_desk,should,should+play,1,0.037,5,27
min_staff_desk,should,should+drive,1,0.037,6,27
min_staff_desk,should,should+limit,1,0.037,7,27
min_staff_desk,should,should+undue,1,0.037,8,27
min_staff_desk,should,should+reemerge,1,0.037,9,27
min_staff_desk,should,should+market,1,0.037,10,27
min_staff_desk,should,should+warrant,1,0.037,11,27
min_staff_desk,should,should+take,1,0.037,12,27
min_staff_desk,should,should+become,1,0.037,13,27
min_staff_desk,should,should+identify,1,0.037,14,27
min_staff_desk,should,should+prepared,1,0.037,15,27
min_staff_desk,will,will+decline,3,0.0857,1,35
min_staff_desk,will,will+notify,3,0.0857,2,35
min_staff_desk,will,will+inform,2,0.0571,3,35
min_staff_desk,will,will+continue,2,0.0571,4,35
min_staff_desk,will,will+need,2,0.0571,5,35
min_staff_desk,will,will+start,2,0.0571,6,35
min_staff_desk,will,will+require,1,0.0286,7,35
min_staff_desk,will,will+restore,1,0.0286,8,35
min_staff_desk,will,will+begin,1,0.0286,9,35
min_staff_desk,will,will+depend,1,0.0286,10,35
min_staff_desk,will,will+change,1,0.0286,11,35
min_staff_desk,will,will+remain,1,0.0286,12,35
min_staff_desk,will,will+result,1,0.0286,13,35
min_staff_desk,will,will+report,1,0.0286,14,35
min_staff_desk,will,will+prevail,1,0.0286,15,35
min_staff_desk,would,would+continue,23,0.0749,1,307
min_staff_desk,would,would+help,10,0.0326,2,307
min_staff_desk,would,would+be+appropriate,8,0.0261,3,307
min_staff_desk,would,would+provide,6,0.0195,4,307
min_staff_desk,would,would+begin,6,0.0195,5,307
min_staff_desk,would,would+use,6,0.0195,6,307
min_staff_desk,would,would+support,6,0.0195,7,307
min_staff_desk,would,would+be+useful,5,0.0163,8,307
min_staff_desk,would,would+occur,5,0.0163,9,307
min_staff_desk,would,would+need,5,0.0163,10,307
min_staff_desk,would,would+fall,5,0.0163,11,307
min_staff_desk,would,would+remain,5,0.0163,12,307
min_staff_desk,would,would+decline,5,0.0163,13,307
min_staff_desk,would,would+announce,4,0.013,14,307
min_staff_desk,would,would+issue,4,0.013,15,307
pc_chair,can,can+do,159,0.0988,1,1610
pc_chair,can,can+see,100,0.0621,2,1610
pc_chair,can,can+say,74,0.046,3,1610
pc_chair,can,can+everything,52,0.0323,4,1610
pc_chair,can,can+have,51,0.0317,5,1610
pc_chair,can,can+look,50,0.0311,6,1610
pc_chair,can,can+make,38,0.0236,7,1610
pc_chair,can,can+think,36,0.0224,8,1610
pc_chair,can,can+tell,34,0.0211,9,1610
pc_chair,can,can+affect,33,0.0205,10,1610
pc_chair,can,can+take,28,0.0174,11,1610
pc_chair,can,can+get,28,0.0174,12,1610
pc_chair,can,can+give,27,0.0168,13,1610
pc_chair,can,can+go,22,0.0137,14,1610
pc_chair,can,can+find,19,0.0118,15,1610
pc_chair,could,could+see,28,0.0447,1,626
pc_chair,could,could+have,26,0.0415,2,626
pc_chair,could,could+be,23,0.0367,3,626
pc_chair,could,could+do,18,0.0288,4,626
pc_chair,could,could+affect,15,0.024,5,626
pc_chair,could,could+come,14,0.0224,6,626
pc_chair,could,could+happen,13,0.0208,7,626
pc_chair,could,could+make,13,0.0208,8,626
pc_chair,could,could+say,13,0.0208,9,626
pc_chair,could,could+mean,11,0.0176,10,626
pc_chair,could,could+put,10,0.016,11,626
pc_chair,could,could+weaken,10,0.016,12,626
pc_chair,could,could+lead,9,0.0144,13,626
pc_chair,could,could+use,9,0.0144,14,626
pc_chair,could,could+change,9,0.0144,15,626
pc_chair,may,may+be,38,0.0784,1,485
pc_chair,may,may+take,23,0.0474,2,485
pc_chair,may,may+have,22,0.0454,3,485
pc_chair,may,may+be+appropriate,21,0.0433,4,485
pc_chair,may,may+see,13,0.0268,5,485
pc_chair,may,may+come,12,0.0247,6,485
pc_chair,may,may+need,12,0.0247,7,485
pc_chair,may,may+change,8,0.0165,8,485
pc_chair,may,may+warrant,8,0.0165,9,485
pc_chair,may,may+continue,8,0.0165,10,485
pc_chair,may,may+be+difficult,7,0.0144,11,485
pc_chair,may,may+be+answer,6,0.0124,12,485
pc_chair,may,may+happen,6,0.0124,13,485
pc_chair,may,may+affect,6,0.0124,14,485
pc_chair,may,may+go,5,0.0103,15,485
pc_chair,should,should+do,23,0.0463,1,497
pc_chair,should,should+help,21,0.0423,2,497
pc_chair,should,should+see,18,0.0362,3,497
pc_chair,should,should+have,14,0.0282,4,497
pc_chair,should,should+move,14,0.0282,5,497
pc_chair,should,should+be,13,0.0262,6,497
pc_chair,should,should+be+what,11,0.0221,7,497
pc_chair,should,should+take,10,0.0201,8,497
pc_chair,should,should+happen,9,0.0181,9,497
pc_chair,should,should+come,8,0.0161,10,497
pc_chair,should,should+go,8,0.0161,11,497
pc_chair,should,should+assume,7,0.0141,12,497
pc_chair,should,should+expect,7,0.0141,13,497
pc_chair,should,should+look,6,0.0121,14,497
pc_chair,should,should+support,6,0.0121,15,497
pc_chair,will,will+continue,243,0.056,1,4341
pc_chair,will,will+have,216,0.0498,2,4341
pc_chair,will,will+see,177,0.0408,3,4341
pc_chair,will,will+do,151,0.0348,4,4341
pc_chair,will,will+take,146,0.0336,5,4341
pc_chair,will,will+look,143,0.0329,6,4341
pc_chair,will,will+say,132,0.0304,7,4341
pc_chair,will,will+be+appropriate,105,0.0242,8,4341
pc_chair,will,will+be,105,0.0242,9,4341
pc_chair,will,will+come,79,0.0182,10,4341
pc_chair,will,will+make,69,0.0159,11,4341
pc_chair,will,will+move,68,0.0157,12,4341
pc_chair,will,will+depend,67,0.0154,13,4341
pc_chair,will,will+go,60,0.0138,14,4341
pc_chair,will,will+get,57,0.0131,15,4341
pc_chair,would,would+say,662,0.2117,1,3127
pc_chair,would,would+like,112,0.0358,2,3127
pc_chair,would,would+want,108,0.0345,3,3127
pc_chair,would,would+look,90,0.0288,4,3127
pc_chair,would,would+be,90,0.0288,5,3127
pc_chair,would,would+have,81,0.0259,6,3127
pc_chair,would,would+expect,81,0.0259,7,3127
pc_chair,would,would+take,72,0.023,8,3127
pc_chair,would,would+point,62,0.0198,9,3127
pc_chair,would,would+think,52,0.0166,10,3127
pc_chair,would,would+do,45,0.0144,11,3127
pc_chair,would,would+see,43,0.0138,12,3127
pc_chair,would,would+be+appropriate,38,0.0122,13,3127
pc_chair,would,would+need,31,0.0099,14,3127
pc_chair,would,would+start,28,0.009,15,3127
speech_chair,can,can+help,22,0.0428,1,514
speech_chair,can,can+do,22,0.0428,2,514
speech_chair,can,can+see,14,0.0272,3,514
speech_chair,can,can+find,12,0.0233,4,514
speech_chair,can,can+make,11,0.0214,5,514
speech_chair,can,can+take,10,0.0195,6,514
speech_chair,can,can+improve,9,0.0175,7,514
speech_chair,can,can+say,9,0.0175,8,514
speech_chair,can,can+lead,8,0.0156,9,514
speech_chair,can,can+be+sure,6,0.0117,10,514
speech_chair,can,can+sustain,6,0.0117,11,514
speech_chair,can,can+be+difficult,6,0.0117,12,514
speech_chair,can,can+everything,6,0.0117,13,514
speech_chair,can,can+continue,6,0.0117,14,514
speech_chair,can,can+provide,6,0.0117,15,514
speech_chair,could,could+have,14,0.0394,1,355
speech_chair,could,could+help,12,0.0338,2,355
speech_chair,could,could+do,9,0.0254,3,355
speech_chair,could,could+lead,7,0.0197,4,355
speech_chair,could,could+prove,7,0.0197,5,355
speech_chair,could,could+bring,6,0.0169,6,355
speech_chair,could,could+reflect,5,0.0141,7,355
speech_chair,could,could+risk,5,0.0141,8,355
speech_chair,could,could+provide,5,0.0141,9,355
speech_chair,could,could+exacerbate,4,0.0113,10,355
speech_chair,could,could+turn,4,0.0113,11,355
speech_chair,could,could+come,4,0.0113,12,355
speech_chair,could,could+raise,4,0.0113,13,355
speech_chair,could,could+push,4,0.0113,14,355
speech_chair,could,could+see,4,0.0113,15,355
speech_chair,may,may+use,19,0.0497,1,382
speech_chair,may,may+reflect,11,0.0288,2,382
speech_chair,may,may+help,11,0.0288,3,382
speech_chair,may,may+hold,8,0.0209,4,382
speech_chair,may,may+need,7,0.0183,5,382
speech_chair,may,may+have,7,0.0183,6,382
speech_chair,may,may+affect,7,0.0183,7,382
speech_chair,may,may+come,6,0.0157,8,382
speech_chair,may,may+be+appropriate,6,0.0157,9,382
speech_chair,may,may+change,6,0.0157,10,382
speech_chair,may,may+require,6,0.0157,11,382
speech_chair,may,may+play,6,0.0157,12,382
speech_chair,may,may+lead,5,0.0131,13,382
speech_chair,may,may+warrant,5,0.0131,14,382
speech_chair,may,may+contribute,5,0.0131,15,382
speech_chair,should,should+take,7,0.0333,1,210
speech_chair,should,should+continue,6,0.0286,2,210
speech_chair,should,should+note,6,0.0286,3,210
speech_chair,should,should+consider,5,0.0238,4,210
speech_chair,should,should+adjust,4,0.019,5,210
speech_chair,should,should+have,4,0.019,6,210
speech_chair,should,should+support,4,0.019,7,210
speech_chair,should,should+make,4,0.019,8,210
speech_chair,should,should+keep,3,0.0143,9,210
speech_chair,should,should+help,3,0.0143,10,210
speech_chair,should,should+expand,3,0.0143,11,210
speech_chair,should,should+look,3,0.0143,12,210
speech_chair,should,should+serve,3,0.0143,13,210
speech_chair,should,should+understand,3,0.0143,14,210
speech_chair,should,should+begin,3,0.0143,15,210
speech_chair,will,will+continue,77,0.0659,1,1169
speech_chair,will,will+discuss,55,0.047,2,1169
speech_chair,will,will+need,36,0.0308,3,1169
speech_chair,will,will+take,28,0.024,4,1169
speech_chair,will,will+turn,21,0.018,5,1169
speech_chair,will,will+be+appropriate,21,0.018,6,1169
speech_chair,will,will+help,21,0.018,7,1169
speech_chair,will,will+remain,21,0.018,8,1169
speech_chair,will,will+have,20,0.0171,9,1169
speech_chair,will,will+focus,19,0.0163,10,1169
speech_chair,will,will+move,18,0.0154,11,1169
speech_chair,will,will+require,15,0.0128,12,1169
speech_chair,will,will+depend,15,0.0128,13,1169
speech_chair,will,will+make,14,0.012,14,1169
speech_chair,will,will+do,14,0.012,15,1169
speech_chair,would,would+like,54,0.0942,1,573
speech_chair,would,would+expect,15,0.0262,2,573
speech_chair,would,would+have,15,0.0262,3,573
speech_chair,would,would+be+appropriate,11,0.0192,4,573
speech_chair,would,would+need,10,0.0175,5,573
speech_chair,would,would+remain,8,0.014,6,573
speech_chair,would,would+require,8,0.014,7,573
speech_chair,would,would+continue,8,0.014,8,573
speech_chair,would,would+move,7,0.0122,9,573
speech_chair,would,would+do,7,0.0122,10,573
speech_chair,would,would+be+consistent,7,0.0122,11,573
speech_chair,would,would+increase,6,0.0105,12,573
speech_chair,would,would+risk,6,0.0105,13,573
speech_chair,would,would+make,6,0.0105,14,573
speech_chair,would,would+rise,6,0.0105,15,573
statement,can,can+be+patient,2,0.5,1,4
statement,can,can+find,2,0.5,2,4
statement,could,could+impede,46,0.92,1,50
statement,could,could+pose,4,0.08,2,50
statement,may,may+warrant,15,0.5556,1,27
statement,may,may+be+appropriate,10,0.3704,2,27
statement,may,may+restrain,1,0.037,3,27
statement,may,may+find,1,0.037,4,27
statement,should,should+help,21,0.6364,1,33
statement,should,should+maintain,6,0.1818,2,33
statement,should,should+promote,6,0.1818,3,33
statement,will,will+continue,125,0.2059,1,607
statement,will,will+take,123,0.2026,2,607
statement,will,will+assess,72,0.1186,3,607
statement,will,will+be+appropriate,43,0.0708,4,607
statement,will,will+expand,34,0.056,5,607
statement,will,will+monitor,32,0.0527,6,607
statement,will,will+depend,28,0.0461,7,607
statement,will,will+warrant,20,0.0329,8,607
statement,will,will+evolve,20,0.0329,9,607
statement,will,will+strengthen,12,0.0198,10,607
statement,will,will+add,12,0.0198,11,607
statement,will,will+remain,11,0.0181,12,607
statement,will,will+aim,10,0.0165,13,607
statement,will,will+move,10,0.0165,14,607
statement,will,will+increase,9,0.0148,15,607
statement,would,would+be+prepared,46,0.9388,1,49
statement,would,would+continue,2,0.0408,2,49
statement,would,would+reduce,1,0.0204,3,49
