level,key,unit,period,macro,n_tokens,zero_share,n,r,p_r,rho,p_rho,q_rho,eligible,unit_level
genre,minutes,ALL,T1,cfnai,5589,0.0,99,-0.0389,0.702,0.0789,0.4378,0.8993,True,modal
genre,minutes,ALL,T1,vix,5589,0.0,99,0.1012,0.3189,0.0665,0.5132,0.6066,True,modal
genre,minutes,ALL,T2,cfnai,5004,0.0,91,0.1239,0.242,0.1532,0.1472,0.6255,True,modal
genre,minutes,ALL,T2,vix,5004,0.0,91,-0.0321,0.7623,-0.0079,0.9406,0.9406,True,modal
genre,minutes,ALL,T3,cfnai,6954,0.0,131,-0.028,0.7509,0.0851,0.334,0.8192,True,modal
genre,minutes,ALL,T3,vix,6954,0.0,131,-0.0193,0.827,-0.0649,0.4615,0.5454,True,modal
genre,minutes,ALL,H1,cfnai,2846,0.0,48,0.183,0.213,0.2179,0.1368,0.5152,True,modal
genre,minutes,ALL,H1,vix,2846,0.0,48,0.1711,0.2449,0.2154,0.1415,0.4179,True,modal
genre,minutes,ALL,H2,cfnai,2158,0.0,43,0.1073,0.4933,0.0463,0.7681,0.8253,True,modal
genre,minutes,ALL,H2,vix,2158,0.0,43,-0.0384,0.807,-0.0222,0.8876,0.9674,True,modal
genre,press_conf,ALL,T1,cfnai,10686,0.0,80,0.1105,0.3291,0.2165,0.0538,0.6506,True,modal
genre,press_conf,ALL,T1,vix,10686,0.0,80,0.3622,0.001,0.3188,0.004,0.0206,True,modal
genre,press_conf,ALL,T2,cfnai,9293,0.0,71,0.2947,0.0126,0.2575,0.0302,0.3921,True,modal
genre,press_conf,ALL,T2,vix,9293,0.0,71,0.2776,0.0191,0.2973,0.0118,0.0384,True,modal
genre,press_conf,ALL,T3,cfnai,12233,0.0,92,0.0967,0.3594,0.1422,0.1764,0.8192,True,modal
genre,press_conf,ALL,T3,vix,12233,0.0,92,0.3394,0.0009,0.2925,0.0047,0.0173,True,modal
genre,press_conf,ALL,H2,cfnai,6097,0.0,43,0.3415,0.025,0.3167,0.0385,0.2408,True,modal
genre,press_conf,ALL,H2,vix,6097,0.0,43,0.2372,0.1257,0.2523,0.1026,0.2849,True,modal
genre,speech,ALL,T1,cfnai,3203,0.0,124,-0.0885,0.3286,-0.0957,0.2906,0.8993,True,modal
genre,speech,ALL,T1,vix,3203,0.0,124,0.0939,0.2997,-0.0171,0.8507,0.8507,True,modal
genre,speech,ALL,T2,cfnai,3075,0.0,118,-0.0931,0.3159,-0.0742,0.4246,0.6255,True,modal
genre,speech,ALL,T2,vix,3075,0.0,118,-0.0617,0.5066,-0.0742,0.4242,0.5962,True,modal
genre,speech,ALL,T3,cfnai,4720,0.0,174,-0.096,0.2076,-0.1314,0.084,0.8192,True,modal
genre,speech,ALL,T3,vix,4720,0.0,174,0.076,0.3189,-0.0076,0.9209,0.9209,True,modal
genre,speech,ALL,H1,cfnai,2348,0.0,73,-0.1166,0.3257,-0.1561,0.1872,0.5152,True,modal
genre,speech,ALL,H1,vix,2348,0.0,73,-0.0759,0.5231,-0.1034,0.3841,0.6634,True,modal
genre,speech,ALL,H2,cfnai,727,0.0,45,-0.073,0.6336,-0.0404,0.7922,0.8253,True,modal
genre,speech,ALL,H2,vix,727,0.0,45,-0.0328,0.8307,0.031,0.84,0.9674,True,modal
genre,statement,ALL,T1,cfnai,770,0.0,101,-0.0573,0.569,-0.1242,0.2158,0.8993,True,modal
genre,statement,ALL,T1,vix,770,0.0,101,0.0086,0.9323,0.0613,0.5425,0.6133,True,modal
genre,statement,ALL,T2,cfnai,697,0.0,91,-0.1355,0.2004,-0.1783,0.0909,0.6255,True,modal
genre,statement,ALL,T2,vix,697,0.0,91,0.0699,0.5105,0.0449,0.6729,0.7952,True,modal
genre,statement,ALL,T3,cfnai,1007,0.0,133,-0.0555,0.5259,-0.0964,0.2697,0.8192,True,modal
genre,statement,ALL,T3,vix,1007,0.0,133,-0.1174,0.1785,-0.1156,0.185,0.3436,True,modal
genre,statement,ALL,H1,cfnai,397,0.0,48,0.1574,0.2852,0.1747,0.2351,0.5152,True,modal
genre,statement,ALL,H1,vix,397,0.0,48,-0.2815,0.0526,-0.4048,0.0043,0.0411,True,modal
genre,statement,ALL,H2,cfnai,300,0.0,43,-0.5054,0.0005,-0.5183,0.0004,0.0093,True,modal
