variable,outcome_vs_will,coef,rrr,p
const,would,2.207,9.093,1.818743563406112e-24
const,could,0.217,1.243,0.41308738028039105
const,can,-4.633,0.01,2.506177839003654e-09
const,should,0.834,2.304,0.001023096357926717
const,may,-1.947,0.143,0.00015152191084935438
period_late,would,-0.328,0.72,3.6295163775029675e-14
period_late,could,-0.274,0.76,2.1973824345758015e-06
period_late,can,0.025,1.026,0.6689863645305149
period_late,should,-0.495,0.609,2.6050870055291716e-11
period_late,may,-0.347,0.707,1.2209276981565587e-06
subj_type_econ,would,0.603,1.827,0.00023189603059270682
subj_type_econ,could,0.799,2.222,5.8403176763151604e-05
subj_type_econ,can,1.863,6.442,0.00027874009576118515
subj_type_econ,should,-0.262,0.77,0.1731095168482073
subj_type_econ,may,2.216,9.172,1.9191933204364537e-06
subj_type_fed,would,0.31,1.364,0.3593362408448453
subj_type_fed,could,0.226,1.254,0.5939035171260334
subj_type_fed,can,3.289,26.815,4.320565972082779e-09
subj_type_fed,should,0.394,1.483,0.2891276635335488
subj_type_fed,may,0.58,1.786,0.5050324028113832
subj_type_it_there_rel,would,1.209,3.351,1.0680176212283162e-13
subj_type_it_there_rel,could,1.469,4.345,1.2393460823560333e-13
subj_type_it_there_rel,can,1.882,6.565,0.00023433107178809685
subj_type_it_there_rel,should,-0.369,0.691,0.06244658014094155
subj_type_it_there_rel,may,2.672,14.464,9.28925121640796e-09
subj_type_none,would,1.474,4.365,2.8374622863926887e-08
subj_type_none,could,1.413,4.108,1.8862738433369658e-05
subj_type_none,can,4.761,116.83,5.9814198489267255e-19
subj_type_none,should,0.782,2.185,0.021722139768196976
subj_type_none,may,2.515,12.371,1.1245092014344969e-05
subj_type_other,would,0.928,2.529,1.1422746501673837e-08
subj_type_other,could,1.198,3.313,1.1553357660186828e-09
subj_type_other,can,2.188,8.918,1.8445542284500884e-05
subj_type_other,should,0.16,1.174,0.3953571008795074
subj_type_other,may,2.59,13.336,2.4050384286096237e-08
subj_type_person,would,1.243,3.467,5.852351305115115e-13
subj_type_person,could,1.122,3.071,2.150961995296056e-07
subj_type_person,can,3.449,31.482,1.559166066773537e-11
subj_type_person,should,0.221,1.248,0.2936994011689241
subj_type_person,may,2.242,9.414,2.6900314886429793e-06
subj_type_risks,would,3.808,45.074,0.1471184741632938
subj_type_risks,could,4.499,89.946,0.08755142268288549
subj_type_risks,can,6.307,548.134,0.019012042025431684
subj_type_risks,should,4.256,70.543,0.10630984767536308
subj_type_risks,may,6.471,646.069,0.01526826561000191
subj_type_we_I,would,1.438,4.213,5.738692990360013e-19
subj_type_we_I,could,-0.19,0.827,0.37663160985433086
subj_type_we_I,can,2.282,9.798,7.321343189476668e-06
subj_type_we_I,should,-0.734,0.48,0.00023833513122971947
subj_type_we_I,may,0.615,1.849,0.19781566719064314
layer_min_participants,would,1.007,2.737,5.963748283448735e-05
layer_min_participants,could,2.528,12.533,2.1962905398224815e-20
layer_min_participants,can,1.332,3.788,0.06381920997349984
layer_min_participants,should,0.872,2.392,0.002005951991194952
layer_min_participants,may,1.723,5.6,5.163285024589459e-08
layer_min_special,would,-1.011,0.364,1.0134844081950235e-05
layer_min_special,could,0.785,2.192,0.0020310151805201402
layer_min_special,can,1.755,5.786,0.00718795865564255
layer_min_special,should,-0.631,0.532,0.023459622284276848
layer_min_special,may,-0.543,0.581,0.11244161366315908
layer_min_staff,would,0.132,1.141,0.670270696891174
layer_min_staff,could,1.072,2.922,0.0013825407007304993
layer_min_staff,can,0.593,1.81,0.5365535769322136
layer_min_staff,should,-1.82,0.162,0.0009669343510053607
layer_min_staff,may,1.132,3.101,0.0027453420027982165
layer_min_staff_desk,would,-0.748,0.473,0.002471413193705922
layer_min_staff_desk,could,0.398,1.489,0.15081095741287923
layer_min_staff_desk,can,0.615,1.849,0.4230938688939351
layer_min_staff_desk,should,-0.986,0.373,0.0023867732333437497
layer_min_staff_desk,may,0.181,1.198,0.5933532684217291
layer_pc_chair,would,-3.626,0.027,7.846847909567448e-94
layer_pc_chair,could,-2.875,0.056,8.106839084978103e-43
layer_pc_chair,can,1.212,3.359,0.04332388055389478
layer_pc_chair,should,-2.427,0.088,2.497216673642722e-30
layer_pc_chair,may,-1.962,0.141,1.7058198233044798e-14
layer_speech_chair,would,-3.977,0.019,4.898802149341662e-106
layer_speech_chair,could,-2.377,0.093,1.2405612799997478e-28
layer_speech_chair,can,1.502,4.493,0.012528264713260264
layer_speech_chair,should,-2.33,0.097,3.340013487728769e-26
layer_speech_chair,may,-1.249,0.287,1.290414385456118e-06
cond,would,0.44,1.552,7.88184515415484e-18
cond,could,0.833,2.301,3.017585565563966e-39
cond,can,0.238,1.269,0.00041936984592763003
cond,should,0.04,1.04,0.669153713517691
cond,may,0.164,1.178,0.05275029856727361
reported,would,0.031,1.032,0.5470381306167655
reported,could,-0.665,0.514,5.432908993310615e-22
reported,can,-0.284,0.753,0.00013742111121960515
reported,should,0.3,1.349,0.0003083654657071788
reported,may,-0.49,0.612,2.0062432531265692e-08
