layer,will,would,could,can,should,may
min_committee,-14.5,20.47,-3.57,-10.02,4.82,-3.55
min_participants,-27.28,17.75,27.82,-17.04,0.26,-0.78
min_special,-11.86,3.91,18.27,-7.07,2.57,-2.83
min_staff,-11.26,9.75,7.59,-7.48,-4.41,4.25
min_staff_desk,-9.94,7.85,8.0,-7.2,-0.42,1.29
pc_chair,21.98,-10.98,-20.04,12.29,-2.89,-6.4
speech_chair,7.71,-16.8,-2.71,8.39,3.11,13.48
