key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.1222,0.0669,0.0846,0.1529,99,0.7998
minutes,ALL,d_vix_28,0.0527,0.0561,0.0033,-0.0823,0.2095,99,0.7998
minutes,could,cfnai_ma3_lead3,0.0553,0.0652,0.0099,-0.0903,0.2201,99,0.7998
minutes,could,d_vix_28,0.0527,0.0529,0.0002,0.0513,0.8,99,0.9511
minutes,could/causative,cfnai_ma3_lead3,0.0553,0.0557,0.0003,-0.0162,0.8527,99,0.9511
minutes,could/causative,d_vix_28,0.0527,0.0571,0.0043,-0.263,0.4637,99,0.8431
minutes,should,cfnai_ma3_lead3,0.0553,0.0623,0.007,0.0563,0.3899,99,0.7998
minutes,should,d_vix_28,0.0527,0.0551,0.0024,-0.1439,0.3999,99,0.7998
minutes,would,cfnai_ma3_lead3,0.0553,0.1169,0.0615,0.0776,0.0239,99,0.2387
minutes,would,d_vix_28,0.0527,0.0529,0.0001,0.015,0.8548,99,0.9511
minutes,would/activity,cfnai_ma3_lead3,0.0553,0.1021,0.0467,-0.1984,0.3016,99,0.7998
minutes,would/activity,d_vix_28,0.0527,0.0529,0.0002,0.0569,0.7981,99,0.9511
minutes,would/aspectual,cfnai_ma3_lead3,0.0553,0.0661,0.0107,0.0731,0.3828,99,0.7998
minutes,would/aspectual,d_vix_28,0.0527,0.0536,0.0009,0.092,0.6859,99,0.9511
minutes,would/copular_adj,cfnai_ma3_lead3,0.0553,0.0572,0.0019,0.0264,0.7147,99,0.9511
minutes,would/copular_adj,d_vix_28,0.0527,0.0531,0.0003,0.0478,0.9036,99,0.9511
minutes,would/mental,cfnai_ma3_lead3,0.0553,0.0555,0.0002,0.0112,0.879,99,0.9511
minutes,would/mental,d_vix_28,0.0527,0.0713,0.0186,-0.4982,0.0067,99,0.1349
minutes,would/occurrence,cfnai_ma3_lead3,0.0553,0.0716,0.0163,0.0871,0.2635,99,0.7998
minutes,would/occurrence,d_vix_28,0.0527,0.0527,0.0,0.0067,0.9703,99,0.9703
