layer,year,tokens,six_modal,pmw,will_pmw,would_pmw,could_pmw,can_pmw,should_pmw,may_pmw
min_committee,2014,6186,101,16327.2,646.6,12770.8,323.3,161.7,1616.6,808.3
min_committee,2015,7955,121,15210.6,1759.9,8673.8,1005.7,251.4,2388.4,1131.4
min_committee,2016,7665,109,14220.5,0.0,10958.9,1696.0,0.0,1435.1,130.5
min_committee,2017,5820,96,16494.8,0.0,14948.5,343.6,0.0,1030.9,171.8
min_committee,2018,4373,56,12805.9,0.0,12119.8,457.4,0.0,228.7,0.0
min_committee,2019,4894,51,10420.9,408.7,7151.6,1634.7,0.0,408.7,817.3
min_committee,2020,4682,72,15378.0,427.2,13883.0,854.3,0.0,213.6,0.0
min_committee,2021,6072,103,16963.1,0.0,12845.8,1482.2,0.0,2305.7,329.4
min_committee,2022,3926,61,15537.4,509.4,12735.6,2037.7,0.0,254.7,0.0
min_committee,2023,3393,61,17978.2,3242.0,9431.2,2357.8,0.0,589.4,2357.8
min_committee,2024,3633,58,15964.8,550.5,11285.4,2202.0,0.0,1651.5,275.3
min_committee,2025,3151,50,15868.0,0.0,10472.9,2538.9,0.0,2856.2,0.0
min_committee,2026,1083,19,17543.9,0.0,12003.7,2770.1,0.0,2770.1,0.0
