t,S
0,1.0
1,0.7222222222222222
2,0.6481481481481481
3,0.5925925925925926
4,0.537037037037037
5,0.48148148148148145
6,0.3703703703703703
7,0.35185185185185175
8,0.29629629629629617
10,0.2777777777777777
14,0.2592592592592592
15,0.24074074074074067
19,0.22222222222222218
20,0.14141414141414138
21,0.12121212121212119
49,0.09090909090909088
51,0.04545454545454544
