variable,outcome_vs_will,coef,rrr,p
const,would,-0.461,0.631,0.0030994018539800355
const,could,-3.664,0.026,1.1919479583603516e-22
const,can,-3.358,0.035,7.506344221602049e-11
const,should,-4.179,0.015,2.656970291285235e-12
const,may,-4.744,0.009,2.3699015454026826e-10
period_late,would,-0.279,0.757,2.835091406661281e-09
period_late,could,-0.335,0.715,1.0493614236098468e-05
period_late,can,0.037,1.038,0.5343173719141429
period_late,should,-0.564,0.569,4.776385308365899e-11
period_late,may,-0.372,0.689,4.894230967440659e-06
subj_type_econ,would,-0.581,0.559,0.0004559980152557186
subj_type_econ,could,1.784,5.951,1.995282766084952e-06
subj_type_econ,can,1.746,5.733,0.0007861580814455795
subj_type_econ,should,2.713,15.069,5.439316268480021e-06
subj_type_econ,may,3.004,20.158,6.129332308657436e-05
subj_type_fed,would,-0.38,0.684,0.31570990390814024
subj_type_fed,could,1.042,2.834,0.1404084232265209
subj_type_fed,can,3.352,28.563,3.671150600386528e-09
subj_type_fed,should,2.957,19.245,2.961826900437004e-05
subj_type_fed,may,1.79,5.989,0.0864725613397658
subj_type_it_there_rel,would,0.222,1.249,0.16028856308578965
subj_type_it_there_rel,could,2.511,12.322,1.3334233963179046e-11
subj_type_it_there_rel,can,1.804,6.075,0.000505895386084284
subj_type_it_there_rel,should,2.419,11.23,5.395626765796874e-05
subj_type_it_there_rel,may,3.602,36.671,1.470396290960043e-06
subj_type_none,would,0.511,1.668,0.05876493013749177
subj_type_none,could,2.776,16.061,2.525135934781486e-09
subj_type_none,can,4.695,109.371,5.450250481319412e-18
subj_type_none,should,2.973,19.545,2.119674340055955e-05
subj_type_none,may,3.335,28.085,6.14852819352899e-05
subj_type_other,would,-0.051,0.95,0.7533485336347677
subj_type_other,could,2.101,8.172,1.87314259259696e-08
subj_type_other,can,2.104,8.203,4.902420445901132e-05
subj_type_other,should,2.623,13.78,1.1663641381239958e-05
subj_type_other,may,3.405,30.104,5.349854145512191e-06
subj_type_person,would,0.066,1.068,0.7040913416979901
subj_type_person,could,2.378,10.787,6.071256065014745e-10
subj_type_person,can,3.39,29.657,6.593589008395928e-11
subj_type_person,should,2.967,19.427,9.843016437449203e-07
subj_type_person,may,3.223,25.099,2.0672819227437516e-05
subj_type_risks,would,4.828,124.984,0.22417024549982656
subj_type_risks,could,-0.942,0.39,0.9782152121202311
subj_type_risks,can,7.042,1143.263,0.07933483618569642
subj_type_risks,should,7.012,1109.83,0.08817759118256507
subj_type_risks,may,7.121,1237.945,0.08558556648096854
subj_type_we_I,would,0.422,1.525,0.006939720878346138
subj_type_we_I,could,0.846,2.331,0.025940025316421755
subj_type_we_I,can,2.209,9.108,1.874272274012145e-05
subj_type_we_I,should,1.927,6.871,0.001306323558541404
subj_type_we_I,may,1.477,4.38,0.050596737135800436
layer_speech_chair,would,-0.353,0.703,1.3708554060803645e-08
layer_speech_chair,could,0.527,1.694,7.945267066530649e-10
layer_speech_chair,can,0.299,1.349,2.041946336800625e-05
layer_speech_chair,should,0.089,1.093,0.3705396379983127
layer_speech_chair,may,0.734,2.083,9.175876808731952e-17
layer_statement,would,-1.955,0.142,1.0029189210006754e-30
layer_statement,could,-0.322,0.724,0.05363242858907804
layer_statement,can,-3.105,0.045,1.1808808203447e-09
layer_statement,should,-0.622,0.537,0.0016740055804821193
layer_statement,may,-0.781,0.458,0.00021805380665114075
cond,would,0.704,2.022,9.075756475313202e-39
cond,could,0.869,2.385,7.588799217891091e-29
cond,can,0.323,1.381,2.7663174157663283e-06
cond,should,0.073,1.076,0.4911473763191845
cond,may,0.108,1.114,0.2647204625323084
reported,would,-0.091,0.913,0.11094747922988255
reported,could,-0.552,0.576,4.3615959851343467e-08
reported,can,-0.349,0.706,3.957586125743665e-06
reported,should,0.022,1.022,0.8232297429174723
reported,may,-0.585,0.557,6.538088484944484e-08
