variable,outcome_vs_will,coef,rrr,p
const,would,2.278,9.754,1.4792219662692209e-19
const,could,-0.153,0.858,0.744572989790393
const,can,-4.644,0.01,3.3204698589882656e-07
const,should,0.08,1.083,0.8269385960705289
const,may,-3.645,0.026,0.05321447238623294
period_late,would,-0.359,0.698,2.3421246714456308e-12
period_late,could,-0.422,0.656,1.8832112426152986e-06
period_late,can,0.069,1.071,0.33389435492881625
period_late,should,-0.405,0.667,1.9099185527052632e-05
period_late,may,-0.271,0.762,0.007675362364884745
subj_type_econ,would,0.347,1.415,0.1430620132253795
subj_type_econ,could,1.058,2.879,0.022203734191981832
subj_type_econ,can,1.652,5.215,0.019732706800291735
subj_type_econ,should,0.755,2.128,0.03127649079028279
subj_type_econ,may,3.972,53.115,0.03460238728740596
subj_type_fed,would,0.3,1.349,0.6147076699941594
subj_type_fed,could,0.772,2.163,0.4857571784030379
subj_type_fed,can,3.53,34.12,5.2908890397165375e-06
subj_type_fed,should,1.421,4.14,0.029413590952342836
subj_type_fed,may,3.262,26.106,0.12758818843174446
subj_type_it_there_rel,would,1.355,3.878,5.065921512161097e-09
subj_type_it_there_rel,could,2.314,10.116,3.225331220199992e-07
subj_type_it_there_rel,can,1.857,6.403,0.008379718328620018
subj_type_it_there_rel,should,0.816,2.262,0.020108749328523072
subj_type_it_there_rel,may,4.715,111.578,0.012075151720815056
subj_type_none,would,1.722,5.598,2.5969383476330014e-07
subj_type_none,could,2.491,12.073,7.5724200064304304e-06
subj_type_none,can,4.962,142.81,8.166294658954317e-12
subj_type_none,should,1.492,4.445,0.004171812445216551
subj_type_none,may,4.404,81.745,0.022425891004212755
subj_type_other,would,1.027,2.794,1.391095739668479e-05
subj_type_other,could,1.919,6.814,2.778024933323445e-05
subj_type_other,can,2.138,8.48,0.0024857355666764564
subj_type_other,should,1.438,4.213,3.6973901174596826e-05
subj_type_other,may,4.384,80.163,0.019700064596738946
subj_type_person,would,1.428,4.169,2.6399154246045e-09
subj_type_person,could,1.91,6.755,3.835089103586745e-05
subj_type_person,can,3.668,39.172,1.867230210954385e-07
subj_type_person,should,1.21,3.355,0.0008099845260194488
subj_type_person,may,4.08,59.132,0.03030726098372707
subj_type_risks,would,4.987,146.52,0.13506963189475243
subj_type_risks,could,-0.659,0.517,0.9817681607241788
subj_type_risks,can,5.867,353.228,0.09277052436702161
subj_type_risks,should,-1.086,0.338,0.9628170310516343
subj_type_risks,may,8.408,4480.747,0.03164903848970047
subj_type_we_I,would,1.737,5.683,4.064309194739351e-14
subj_type_we_I,could,0.629,1.876,0.17251972725691678
subj_type_we_I,can,2.471,11.834,0.0004259501976024647
subj_type_we_I,should,0.253,1.288,0.4728527151168632
subj_type_we_I,may,2.689,14.724,0.15299806316701944
layer_pc_chair,would,-3.867,0.021,2.2126249858383618e-98
layer_pc_chair,could,-3.161,0.042,1.1486724810709012e-46
layer_pc_chair,can,1.081,2.949,0.07380522788334277
layer_pc_chair,should,-2.75,0.064,1.1143077354376696e-35
layer_pc_chair,may,-2.23,0.107,4.2089914430187396e-17
cond,would,0.474,1.606,4.214143609427713e-15
cond,could,0.848,2.335,6.169615739510957e-20
cond,can,0.191,1.211,0.016119195238445683
cond,should,0.003,1.003,0.9813150005300104
cond,may,0.023,1.023,0.8537940908998862
reported,would,0.019,1.019,0.751954239196259
reported,could,-0.801,0.449,3.2241292015707603e-11
reported,can,-0.196,0.822,0.017998565671325236
reported,should,0.057,1.058,0.6023768608307333
reported,may,-0.58,0.56,9.82782141974252e-06
