layer,modal,rank,predicate,n,share,cum_share,modal_n
statement,will,1,continue,125,0.2059,0.2059,607
statement,will,2,take,123,0.2026,0.4086,607
statement,will,3,assess,72,0.1186,0.5272,607
statement,will,4,be+appropriate,43,0.0708,0.598,607
statement,will,5,expand,34,0.056,0.654,607
statement,will,6,monitor,32,0.0527,0.7068,607
statement,will,7,depend,28,0.0461,0.7529,607
statement,will,8,warrant,20,0.0329,0.7858,607
statement,will,9,evolve,20,0.0329,0.8188,607
statement,will,10,strengthen,12,0.0198,0.8386,607
statement,will,11,add,12,0.0198,0.8583,607
statement,will,12,remain,11,0.0181,0.8764,607
statement,will,13,aim,10,0.0165,0.8929,607
statement,will,14,move,10,0.0165,0.9094,607
statement,will,15,increase,9,0.0148,0.9242,607
statement,would,1,be+prepared,46,0.9388,0.9388,49
statement,would,2,continue,2,0.0408,0.9796,49
statement,would,3,reduce,1,0.0204,1.0,49
statement,could,1,impede,46,0.92,0.92,50
statement,could,2,pose,4,0.08,1.0,50
statement,should,1,help,21,0.6364,0.6364,33
statement,should,2,maintain,6,0.1818,0.8182,33
statement,should,3,promote,6,0.1818,1.0,33
statement,may,1,warrant,15,0.5556,0.5556,27
statement,may,2,be+appropriate,10,0.3704,0.9259,27
statement,may,3,restrain,1,0.037,0.963,27
statement,may,4,find,1,0.037,1.0,27
