layer,series,variant,rho_cfnai,p_cfnai,rho_vix,p_vix
statement,ALL,"baseline per1k, T1",-0.124,0.2158,0.061,0.5425
statement,ALL,"per1k, excl-2020",-0.178,0.0909,0.045,0.6729
statement,ALL,"per1k, 2010–2026",-0.096,0.2697,-0.116,0.185
statement,ALL,CFNAI lag 1,-0.048,0.6363,0.061,0.5425
statement,ALL,VIX inter-meeting,-0.124,0.2158,0.075,0.4561
statement,ALL,share (N2),,,,
statement,ALL,count (N3),0.18,0.071,-0.18,0.0725
statement,could,"baseline per1k, T1",-0.062,0.535,0.332,0.0007
statement,could,"per1k, excl-2020",-0.167,0.1127,0.451,0.0
statement,could,"per1k, 2010–2026",-0.017,0.8452,0.182,0.0357
statement,could,CFNAI lag 1,-0.06,0.5533,0.332,0.0007
statement,could,VIX inter-meeting,-0.062,0.535,0.324,0.0009
statement,could,share (N2),-0.015,0.8807,0.369,0.0001
statement,could,count (N3),0.078,0.4394,0.329,0.0008
statement,should,"baseline per1k, T1",-0.012,0.9054,-0.337,0.0006
statement,should,"per1k, excl-2020",-0.028,0.7928,-0.305,0.0032
statement,should,"per1k, 2010–2026",-0.061,0.4869,-0.363,0.0
statement,should,CFNAI lag 1,0.039,0.6986,-0.337,0.0006
statement,should,VIX inter-meeting,-0.012,0.9054,-0.335,0.0006
statement,should,share (N2),-0.005,0.9567,-0.294,0.0028
statement,should,count (N3),-0.008,0.9333,-0.314,0.0014
statement,will,"baseline per1k, T1",-0.049,0.6252,-0.186,0.062
statement,will,"per1k, excl-2020",-0.07,0.509,-0.339,0.001
statement,will,"per1k, 2010–2026",-0.05,0.5647,-0.259,0.0026
statement,will,CFNAI lag 1,0.068,0.5018,-0.186,0.062
statement,will,VIX inter-meeting,-0.049,0.6252,-0.158,0.1148
statement,will,share (N2),0.055,0.5858,-0.316,0.0013
statement,will,count (N3),0.148,0.1409,-0.243,0.0145
statement,would,"baseline per1k, T1",-0.018,0.8561,0.338,0.0005
statement,would,"per1k, excl-2020",-0.106,0.3153,0.455,0.0
statement,would,"per1k, 2010–2026",-0.01,0.9095,0.221,0.0107
statement,would,CFNAI lag 1,-0.033,0.7441,0.338,0.0005
statement,would,VIX inter-meeting,-0.018,0.8561,0.327,0.0009
statement,would,share (N2),0.029,0.7718,0.373,0.0001
statement,would,count (N3),0.1,0.3175,0.361,0.0002
