layer,modal,unit,n,share,rank,modal_n
statement,can,can+be+patient,2,0.5,1,4
statement,can,can+find,2,0.5,2,4
statement,could,could+impede,46,0.92,1,50
statement,could,could+pose,4,0.08,2,50
statement,may,may+warrant,15,0.5556,1,27
statement,may,may+be+appropriate,10,0.3704,2,27
statement,may,may+restrain,1,0.037,3,27
statement,may,may+find,1,0.037,4,27
statement,should,should+help,21,0.6364,1,33
statement,should,should+maintain,6,0.1818,2,33
statement,should,should+promote,6,0.1818,3,33
statement,will,will+continue,125,0.2059,1,607
statement,will,will+take,123,0.2026,2,607
statement,will,will+assess,72,0.1186,3,607
statement,will,will+be+appropriate,43,0.0708,4,607
statement,will,will+expand,34,0.056,5,607
statement,will,will+monitor,32,0.0527,6,607
statement,will,will+depend,28,0.0461,7,607
statement,will,will+warrant,20,0.0329,8,607
statement,will,will+evolve,20,0.0329,9,607
statement,will,will+strengthen,12,0.0198,10,607
statement,will,will+add,12,0.0198,11,607
statement,will,will+remain,11,0.0181,12,607
statement,will,will+aim,10,0.0165,13,607
statement,will,will+move,10,0.0165,14,607
statement,will,will+increase,9,0.0148,15,607
statement,would,would+be+prepared,46,0.9388,1,49
statement,would,would+continue,2,0.0408,2,49
statement,would,would+reduce,1,0.0204,3,49
