layer,unit,n,share
statement,will+continue,125,0.1623
statement,will+take,123,0.1597
statement,will+assess,72,0.0935
statement,could+impede,46,0.0597
statement,would+be+prepared,46,0.0597
statement,will+be+appropriate,43,0.0558
statement,will+expand,34,0.0442
statement,will+monitor,32,0.0416
statement,will+depend,28,0.0364
statement,should+help,21,0.0273
