variable,outcome_vs_will,coef,rrr,p
const,would,2.563,12.972,1.5046046968706903e-17
const,could,0.201,1.223,0.6559483090726275
const,can,-3.936,0.02,2.9087310334182025e-05
const,should,0.527,1.694,0.1922532685444973
const,may,-1.578,0.206,0.04451184108857432
period_late,would,-0.479,0.62,7.440146527600529e-06
period_late,could,-0.409,0.664,0.0019085062791340715
period_late,can,-0.279,0.756,0.01907203130745425
period_late,should,-0.599,0.549,0.00012634916512377188
period_late,may,-0.69,0.502,1.0450564317421677e-06
subj_type_econ,would,0.301,1.352,0.26940968580436786
subj_type_econ,could,1.121,3.067,0.007916371219453891
subj_type_econ,can,1.928,6.879,0.009041865178491953
subj_type_econ,should,0.596,1.814,0.11143993627348872
subj_type_econ,may,2.229,9.293,0.003265106754473918
subj_type_fed,would,0.463,1.588,0.40759119466843174
subj_type_fed,could,0.439,1.552,0.6180176298242328
subj_type_fed,can,3.311,27.407,6.928533079635552e-05
subj_type_fed,should,1.063,2.894,0.12528580747188417
subj_type_fed,may,0.795,2.215,0.537400269473872
subj_type_it_there_rel,would,0.24,1.271,0.3933341218691465
subj_type_it_there_rel,could,1.489,4.431,0.0004416510978812134
subj_type_it_there_rel,can,1.989,7.307,0.007379056799901402
subj_type_it_there_rel,should,-0.418,0.658,0.32080279805488743
subj_type_it_there_rel,may,2.443,11.51,0.0013061323814048717
subj_type_none,would,0.396,1.486,0.5017056047740379
subj_type_none,could,1.423,4.152,0.043112850930117824
subj_type_none,can,3.997,54.457,1.565564914931378e-06
subj_type_none,should,1.324,3.758,0.050988656903584555
subj_type_none,may,2.025,7.574,0.04529040340867665
subj_type_other,would,0.207,1.229,0.44323429797972025
subj_type_other,could,1.094,2.985,0.008955047113372363
subj_type_other,can,2.029,7.605,0.005770351881619473
subj_type_other,should,0.531,1.7,0.15236920197337642
subj_type_other,may,2.446,11.546,0.0011807685280439905
subj_type_person,would,0.692,1.998,0.021553377178001945
subj_type_person,could,0.818,2.265,0.07669524041093345
subj_type_person,can,2.454,11.64,0.0011021808851152193
subj_type_person,should,0.272,1.313,0.5288340640111713
subj_type_person,may,2.134,8.451,0.006230406112308287
subj_type_risks,would,3.775,43.585,0.5881126448091056
subj_type_risks,could,-2.061,0.127,0.9645468178021661
subj_type_risks,can,7.159,1285.965,0.3015652426235981
subj_type_risks,should,5.32,204.44,0.44401112456176506
subj_type_risks,may,7.336,1533.8,0.28994511289739444
subj_type_we_I,would,-0.435,0.647,0.12291892657601636
subj_type_we_I,could,-0.584,0.558,0.1976161682291664
subj_type_we_I,can,1.461,4.31,0.04746597123441463
subj_type_we_I,should,-0.139,0.871,0.7256234401574734
subj_type_we_I,may,-0.195,0.823,0.8058417386634991
layer_speech_chair,would,-3.406,0.033,1.1003412399860613e-67
layer_speech_chair,could,-2.241,0.106,5.518572626101761e-22
layer_speech_chair,can,1.29,3.633,0.03521790779717646
layer_speech_chair,should,-2.38,0.093,8.346732872081751e-23
layer_speech_chair,may,-1.24,0.289,5.407268086778502e-06
cond,would,0.496,1.641,3.018886526663124e-05
cond,could,0.917,2.502,5.5716282215526226e-12
cond,can,0.309,1.362,0.024218874630358742
cond,should,-0.173,0.841,0.37462965700822193
cond,may,0.086,1.09,0.573717622680201
reported,would,0.344,1.41,0.006199124552778535
reported,could,-0.842,0.431,2.729021443799534e-06
reported,can,-0.81,0.445,3.67497891850068e-05
reported,should,0.34,1.406,0.05001096810244151
reported,may,-0.858,0.424,9.137129654106393e-06
