variable,outcome_vs_will,coef,rrr,p
const,would,2.069,7.914,7.28690602430674e-20
const,could,0.141,1.152,0.6122083845062909
const,can,-4.848,0.008,8.921467517283846e-08
const,should,0.878,2.406,0.0008541526247020243
const,may,-2.187,0.112,0.0003651490984936732
period_late,would,-0.291,0.747,8.760479778048401e-10
period_late,could,-0.216,0.806,0.0007144732296609771
period_late,can,0.102,1.108,0.14039379121887993
period_late,should,-0.429,0.651,1.2590838638769613e-07
period_late,may,-0.234,0.791,0.004931906392449681
subj_type_econ,would,0.632,1.881,0.000674802829075734
subj_type_econ,could,0.748,2.113,0.0008126331428572648
subj_type_econ,can,1.922,6.835,0.006988834872035714
subj_type_econ,should,-0.502,0.605,0.019656036387877815
subj_type_econ,may,2.392,10.937,3.594818261539796e-05
subj_type_fed,would,0.069,1.071,0.8665475116563892
subj_type_fed,could,0.111,1.118,0.8223887790401476
subj_type_fed,can,3.385,29.522,1.073982174258002e-05
subj_type_fed,should,0.225,1.253,0.6112933620276169
subj_type_fed,may,0.494,1.639,0.6810164302664456
subj_type_it_there_rel,would,1.514,4.545,2.328696863534365e-16
subj_type_it_there_rel,could,1.719,5.577,1.1077394615111572e-14
subj_type_it_there_rel,can,2.071,7.932,0.0035276958964065874
subj_type_it_there_rel,should,-0.327,0.721,0.13445086208128276
subj_type_it_there_rel,may,2.977,19.631,2.6774823032333586e-07
subj_type_none,would,1.799,6.041,1.2205616977650162e-09
subj_type_none,could,1.554,4.729,2.9903222038708652e-05
subj_type_none,can,5.147,171.888,1.876534221591936e-12
subj_type_none,should,0.811,2.25,0.03163630262084877
subj_type_none,may,2.809,16.596,5.7691916343054665e-05
subj_type_other,would,1.116,3.054,1.7181239522019044e-09
subj_type_other,could,1.358,3.89,9.271751046097058e-10
subj_type_other,can,2.299,9.966,0.001222988930525187
subj_type_other,should,0.272,1.313,0.19433169002551665
subj_type_other,may,2.793,16.323,1.3828020189924423e-06
subj_type_person,would,1.578,4.845,5.511737118284006e-16
subj_type_person,could,1.264,3.54,2.0511822856477635e-07
subj_type_person,can,3.842,46.611,6.119186304691819e-08
subj_type_person,should,0.212,1.237,0.3624200380028335
subj_type_person,may,2.354,10.528,7.615757976330366e-05
subj_type_risks,would,3.292,26.904,0.13626954389936533
subj_type_risks,could,4.055,57.689,0.067728362521011
subj_type_risks,can,5.087,161.843,0.04038984053152037
subj_type_risks,should,3.518,33.707,0.11375332052369903
subj_type_risks,may,6.142,464.92,0.007343532258249598
subj_type_we_I,would,1.889,6.616,8.428676873623885e-25
subj_type_we_I,could,0.07,1.072,0.7740309502535476
subj_type_we_I,can,2.668,14.416,0.0001614266004488958
subj_type_we_I,should,-0.825,0.438,0.00023186608896921685
subj_type_we_I,may,1.035,2.815,0.0801999804675637
layer_min_participants,would,1.025,2.787,4.976731151607392e-05
layer_min_participants,could,2.528,12.529,3.9236547936818856e-20
layer_min_participants,can,1.346,3.842,0.05744103327050301
layer_min_participants,should,0.883,2.419,0.0018669998140080138
layer_min_participants,may,1.707,5.51,8.157117927958007e-08
layer_min_special,would,-1.017,0.362,1.0007394885313326e-05
layer_min_special,could,0.748,2.113,0.0034062133618582274
layer_min_special,can,1.745,5.728,0.006659720234616041
layer_min_special,should,-0.684,0.505,0.014301941058715167
layer_min_special,may,-0.555,0.574,0.10628171592579294
layer_min_staff,would,0.166,1.18,0.5939791057541821
layer_min_staff,could,1.083,2.952,0.0012918074777886436
layer_min_staff,can,0.641,1.899,0.5051967458998791
layer_min_staff,should,-1.782,0.168,0.0012037182325369976
layer_min_staff,may,1.129,3.094,0.0029064581610556512
layer_min_staff_desk,would,-0.75,0.472,0.0025648037039818316
layer_min_staff_desk,could,0.36,1.434,0.196395764422704
layer_min_staff_desk,can,0.597,1.816,0.43226791512317175
layer_min_staff_desk,should,-1.043,0.352,0.0013735219174851323
layer_min_staff_desk,may,0.173,1.188,0.6116598429603772
layer_pc_chair,would,-3.848,0.021,2.1326267541628922e-101
layer_pc_chair,could,-3.055,0.047,1.0183818871065518e-46
layer_pc_chair,can,1.059,2.883,0.07227850865307403
layer_pc_chair,should,-2.498,0.082,5.437862136742256e-31
layer_pc_chair,may,-2.099,0.123,6.194488778849161e-16
cond,would,0.401,1.493,1.7416890198591138e-12
cond,could,0.865,2.375,9.823585150882795e-34
cond,can,0.194,1.214,0.012987336738044041
cond,should,0.064,1.066,0.5392515438198051
cond,may,0.203,1.225,0.04456463967004454
reported,would,0.028,1.028,0.62056024730593
reported,could,-0.695,0.499,9.894361920411424e-21
reported,can,-0.169,0.844,0.03688424858411609
reported,should,0.261,1.298,0.00451362070670546
reported,may,-0.456,0.634,3.4803040438537236e-06
