layer,will,would,could,can,should,may
min_committee,-15.1,21.38,-3.4,-9.83,4.88,-3.46
min_participants,-28.22,19.02,28.44,-16.71,0.35,-0.58
min_special,-12.45,4.5,18.63,-6.86,2.63,-2.74
min_staff,-11.7,10.35,7.82,-7.33,-4.38,4.38
min_staff_desk,-10.43,8.42,8.23,-7.04,-0.38,1.39
pc_chair,17.79,-9.2,-19.54,13.79,-2.72,-6.04
speech_chair,5.55,-16.0,-2.35,9.25,3.21,13.81
statement,23.81,-13.29,-4.75,-8.64,-1.17,-2.79
