level,key,series,spec,var,coef,se,t,p,stars,n,r2
genre,minutes,ALL,levels: CFNAI,CFNAI-MA3,-0.0865,0.0912,-0.95,0.3424,,99,0.003
genre,minutes,ALL,levels: CFNAI + VIX,CFNAI-MA3,-0.0871,0.0856,-1.02,0.3091,,99,0.003
genre,minutes,ALL,levels: CFNAI + VIX,VIX,-0.0011,0.0266,-0.04,0.9657,,99,0.003
genre,minutes,ALL,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0426,0.0409,1.04,0.2969,,98,0.002
genre,minutes,ALL,Δ: ΔCFNAI + ΔVIX,ΔVIX,-0.0149,0.0356,-0.42,0.6758,,98,0.002
genre,minutes,commit,levels: CFNAI,CFNAI-MA3,0.0112,0.0094,1.19,0.2345,,99,0.001
genre,minutes,commit,levels: CFNAI + VIX,CFNAI-MA3,0.0059,0.0098,0.6,0.5457,,99,0.033
genre,minutes,commit,levels: CFNAI + VIX,VIX,-0.0106,0.0046,-2.31,0.0207,**,99,0.033
genre,minutes,commit,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0148,0.0085,1.73,0.0836,*,98,0.041
genre,minutes,commit,Δ: ΔCFNAI + ΔVIX,ΔVIX,-0.02,0.0098,-2.03,0.0425,**,98,0.041
genre,minutes,hedge,levels: CFNAI,CFNAI-MA3,-0.0939,0.0914,-1.03,0.3043,,99,0.006
genre,minutes,hedge,levels: CFNAI + VIX,CFNAI-MA3,-0.0845,0.0778,-1.09,0.2777,,99,0.013
genre,minutes,hedge,levels: CFNAI + VIX,VIX,0.0189,0.0239,0.79,0.4286,,99,0.013
genre,minutes,hedge,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.0425,0.0423,1.0,0.3152,,98,0.001
genre,minutes,hedge,Δ: ΔCFNAI + ΔVIX,ΔVIX,0.0015,0.0299,0.05,0.9591,,98,0.001
genre,press_conf,ALL,levels: CFNAI,CFNAI-MA3,0.2385,0.2157,1.11,0.2688,,80,0.01
genre,press_conf,ALL,levels: CFNAI + VIX,CFNAI-MA3,0.312,0.1302,2.4,0.0166,**,80,0.14
genre,press_conf,ALL,levels: CFNAI + VIX,VIX,0.1762,0.0407,4.33,0.0,***,80,0.14
genre,press_conf,ALL,Δ: ΔCFNAI + ΔVIX,ΔCFNAI,0.7305,0.0835,8.75,0.0,***,79,0.083
