key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.0751,0.0198,-0.0981,0.4048,99,0.8097
minutes,ALL,d_vix_28,0.0527,0.0536,0.0008,-0.0871,0.6925,99,0.913
minutes,could,cfnai_ma3_lead3,0.0553,0.1247,0.0694,-0.307,0.1697,99,0.5884
minutes,could,d_vix_28,0.0527,0.073,0.0202,-0.7243,0.0542,99,0.5884
minutes,could/causative,cfnai_ma3_lead3,0.0553,0.0555,0.0001,-0.0305,0.8011,99,0.9156
minutes,could/causative,d_vix_28,0.0527,0.0745,0.0218,-1.7385,0.1277,99,0.5884
minutes,may,cfnai_ma3_lead3,0.0553,0.0598,0.0045,0.1796,0.5223,99,0.8978
minutes,may,d_vix_28,0.0527,0.0602,0.0075,-1.0159,0.2835,99,0.6803
minutes,should,cfnai_ma3_lead3,0.0553,0.0558,0.0005,-0.0613,0.729,99,0.913
minutes,should,d_vix_28,0.0527,0.0677,0.015,-1.511,0.0578,99,0.5884
minutes,will,cfnai_ma3_lead3,0.0553,0.0591,0.0037,-0.1729,0.2207,99,0.5884
minutes,will,d_vix_28,0.0527,0.0542,0.0015,-0.4786,0.575,99,0.913
minutes,would,cfnai_ma3_lead3,0.0553,0.0566,0.0012,0.0331,0.6093,99,0.913
minutes,would,d_vix_28,0.0527,0.0813,0.0285,0.7021,0.2063,99,0.5884
minutes,would/activity,cfnai_ma3_lead3,0.0553,0.1713,0.116,-1.1401,0.1944,99,0.5884
minutes,would/activity,d_vix_28,0.0527,0.0658,0.013,1.67,0.3486,99,0.7607
minutes,would/copular_adj,cfnai_ma3_lead3,0.0553,0.0576,0.0022,-0.119,0.5237,99,0.8978
minutes,would/copular_adj,d_vix_28,0.0527,0.0532,0.0005,-0.2455,0.7608,99,0.913
minutes,would/occurrence,cfnai_ma3_lead3,0.0553,0.0554,0.0,-0.0094,0.9392,99,0.9392
minutes,would/occurrence,d_vix_28,0.0527,0.0528,0.0001,-0.092,0.8914,99,0.9392
minutes,would/other,cfnai_ma3_lead3,0.0553,0.0554,0.0,-0.0133,0.9214,99,0.9392
minutes,would/other,d_vix_28,0.0527,0.0698,0.017,1.5219,0.1182,99,0.5884
minutes,would/policy_action,cfnai_ma3_lead3,0.0553,0.063,0.0076,0.2392,0.147,99,0.5884
minutes,would/policy_action,d_vix_28,0.0527,0.0556,0.0028,0.6367,0.6572,99,0.913
