layer,contrast,group,n,will,would,could,can,should,may,chi2,p,cramers_v
min_participants,chair,Powell,1872,0.007,0.559,0.33,0.003,0.043,0.059,22.4,0.0004351181596315666,0.091
min_participants,chair,Yellen,865,0.02,0.555,0.295,0.003,0.074,0.053,22.4,0.0004351181596315666,0.091
min_committee,chair,Powell,520,0.037,0.748,0.112,0.0,0.075,0.029,14.7,0.011737231751491873,0.125
min_committee,chair,Yellen,425,0.042,0.746,0.059,0.007,0.108,0.038,14.7,0.011737231751491873,0.125
