layer,item,kind,freq_in,tokens_in,freq_out,tokens_out,pmw_in,pmw_out,LL,p,log_ratio,pct_diff,sign,q
min_staff_desk,will,modal,35,71942,4473,1110593,486.5,4027.6,347.67,0.0,-3.029,-87.9,-,0.0
min_staff_desk,would,modal,307,71942,6054,1110593,4267.3,5451.1,18.87,0.0,-0.351,-21.7,-,0.0001
min_staff_desk,could,modal,138,71942,1999,1110593,1918.2,1799.9,0.51,0.4737,0.097,6.6,+,0.5132
min_staff_desk,can,modal,5,71942,1644,1110593,69.5,1480.3,166.4,0.0,-4.276,-95.3,-,0.0
min_staff_desk,should,modal,27,71942,794,1110593,375.3,714.9,13.35,0.0003,-0.904,-47.5,-,0.001
min_staff_desk,may,modal,41,71942,758,1110593,569.9,682.5,1.34,0.2478,-0.244,-16.5,-,0.3222
min_staff_desk,would+continue,unit,23,71942,237,1110593,319.7,213.4,3.07,0.0798,0.611,49.8,+,0.122
min_staff_desk,would+help,unit,10,71942,84,1110593,139.0,75.6,2.83,0.0928,0.94,83.8,+,0.134
min_staff_desk,would+be+appropriate,unit,8,71942,267,1110593,111.2,240.4,5.95,0.0147,-1.028,-53.7,-,0.0295
min_staff_desk,could+affect,unit,7,71942,42,1110593,97.3,37.8,4.27,0.0387,1.446,157.3,+,0.0718
min_staff_desk,may+contribute,unit,7,71942,15,1110593,97.3,13.5,13.56,0.0002,2.901,620.4,+,0.001
min_staff_desk,would+use,unit,6,71942,16,1110593,83.4,14.4,9.82,0.0017,2.604,478.9,+,0.005
min_staff_desk,would+provide,unit,6,71942,39,1110593,83.4,35.1,3.15,0.0759,1.345,137.5,+,0.122
min_staff_desk,could+consider,unit,6,71942,7,1110593,83.4,6.3,16.53,0.0,3.742,1223.2,+,0.0003
min_staff_desk,would+begin,unit,6,71942,17,1110593,83.4,15.3,9.33,0.0023,2.52,444.8,+,0.0059
min_staff_desk,would+support,unit,6,71942,37,1110593,83.4,33.3,3.49,0.0619,1.42,150.3,+,0.1073
min_staff_desk,would+be+useful,unit,5,71942,13,1110593,69.5,11.7,8.36,0.0038,2.653,493.7,+,0.0091
min_staff_desk,could+result,unit,5,71942,45,1110593,69.5,40.5,1.14,0.2865,0.9,71.5,+,0.3385
min_staff_desk,would+occur,unit,5,71942,16,1110593,69.5,14.4,6.95,0.0084,2.363,382.4,+,0.0181
min_staff_desk,would+decline,unit,5,71942,10,1110593,69.5,9.0,10.16,0.0014,3.015,671.9,+,0.0047
min_staff_desk,would+remain,unit,5,71942,110,1110593,69.5,99.0,0.67,0.4131,-0.38,-29.8,-,0.467
min_staff_desk,would+need,unit,5,71942,101,1110593,69.5,90.9,0.37,0.5408,-0.258,-23.6,-,0.5625
min_staff_desk,could+increase,unit,5,71942,44,1110593,69.5,39.6,1.22,0.2686,0.932,75.4,+,0.3326
min_staff_desk,would+fall,unit,5,71942,5,1110593,69.5,4.5,14.76,0.0001,3.948,1443.7,+,0.0006
min_staff_desk,could+continue,unit,4,71942,23,1110593,55.6,20.7,2.63,0.1048,1.564,168.5,+,0.1434
min_staff_desk,would+increase,unit,4,71942,54,1110593,55.6,48.6,0.06,0.7996,0.35,14.4,+,0.7996
min_staff,will,modal,16,249885,4492,932650,64.0,4816.4,1969.96,0.0,-6.189,-98.7,-,0.0
min_staff,would,modal,327,249885,6034,932650,1308.6,6469.7,1303.4,0.0,-2.304,-79.8,-,0.0
min_staff,could,modal,132,249885,2005,932650,528.2,2149.8,371.54,0.0,-2.02,-75.4,-,0.0
min_staff,can,modal,2,249885,1647,932650,8.0,1765.9,757.31,0.0,-7.464,-99.5,-,0.0
min_staff,should,modal,5,249885,816,932650,20.0,874.9,341.98,0.0,-5.314,-97.7,-,0.0
min_staff,may,modal,57,249885,742,932650,228.1,795.6,118.66,0.0,-1.791,-71.3,-,0.0
min_staff,would+expand,unit,31,249885,52,932650,124.1,55.8,11.37,0.0007,1.163,122.5,+,0.0011
min_staff,would+increase,unit,27,249885,31,932650,108.0,33.2,18.53,0.0,1.704,225.1,+,0.0
min_staff,could+increase,unit,21,249885,28,932650,84.0,30.0,11.65,0.0006,1.493,179.9,+,0.001
min_staff,may+edge,unit,18,249885,1,932650,72.0,1.1,48.6,0.0,5.525,6618.2,+,0.0
min_staff,would+remain,unit,18,249885,97,932650,72.0,104.0,2.22,0.1358,-0.498,-30.7,-,0.1535
min_staff,would+move,unit,13,249885,63,932650,52.0,67.5,0.78,0.3779,-0.334,-23.0,-,0.4094
min_staff,could+prove,unit,11,249885,20,932650,44.0,21.4,3.37,0.0665,1.066,105.3,+,0.0785
min_staff,would+continue,unit,10,249885,250,932650,40.0,268.1,65.01,0.0,-2.676,-85.1,-,0.0
min_staff,could+appreciate,unit,9,249885,1,932650,36.0,1.1,21.95,0.0,4.563,3259.1,+,0.0
min_staff,would+rise,unit,9,249885,43,932650,36.0,46.1,0.48,0.4891,-0.295,-21.9,-,0.5086
min_staff,may+be+lower,unit,9,249885,6,932650,36.0,6.4,10.64,0.0011,2.448,459.8,+,0.0016
min_staff,would+manifest,unit,8,249885,0,932650,32.0,0.0,24.87,0.0,5.988,inf,+,0.0
min_staff,would+prove,unit,7,249885,7,932650,28.0,7.5,5.68,0.0172,1.9,273.2,+,0.0235
min_staff,would+decline,unit,7,249885,8,932650,28.0,8.6,4.83,0.0279,1.719,226.6,+,0.0363
min_staff,could+expand,unit,7,249885,0,932650,28.0,0.0,21.76,0.0,5.807,inf,+,0.0
min_staff,could+move,unit,7,249885,9,932650,28.0,9.6,4.1,0.0428,1.559,190.3,+,0.0529
min_staff,would+slow,unit,6,249885,22,932650,24.0,23.6,0.0,0.9693,0.109,1.8,+,0.9693
min_staff,would+enact,unit,6,249885,0,932650,24.0,0.0,18.65,0.0,5.601,inf,+,0.0
min_staff,would+take,unit,6,249885,189,932650,24.0,202.6,54.8,0.0,-2.966,-88.2,-,0.0
min_staff,would+be+objective,unit,6,249885,0,932650,24.0,0.0,18.65,0.0,5.601,inf,+,0.0
min_participants,will,modal,30,223992,4478,958543,133.9,4671.7,1620.06,0.0,-5.101,-97.1,-,0.0
min_participants,would,modal,1537,223992,4824,958543,6861.9,5032.6,106.0,0.0,0.448,36.3,+,0.0
min_participants,could,modal,875,223992,1262,958543,3906.4,1316.6,549.66,0.0,1.569,196.7,+,0.0
